time,DMI,Phase
2006-01-01,-0.135,Neutral
2006-02-01,-0.305,Neutral
2006-03-01,-0.226,Neutral
2006-04-01,-0.015,Neutral
2006-05-01,-0.207,Neutral
2006-06-01,-0.059,Neutral
2006-07-01,0.04,Neutral
2006-08-01,0.229,Neutral
2006-09-01,0.428,Positive
2006-10-01,0.577,Positive
2006-11-01,0.501,Positive
2006-12-01,0.172,Neutral
2007-01-01,0.224,Neutral
2007-02-01,0.15,Neutral
2007-03-01,0.116,Neutral
2007-04-01,0.1,Neutral
2007-05-01,0.27,Neutral
2007-06-01,0.03,Neutral
2007-07-01,0.045,Neutral
2007-08-01,0.236,Neutral
2007-09-01,0.235,Neutral
2007-10-01,0.068,Neutral
2007-11-01,-0.023,Neutral
2007-12-01,-0.227,Neutral
2008-01-01,0.115,Neutral
2008-02-01,-0.072,Neutral
2008-03-01,0.097,Neutral
2008-04-01,-0.153,Neutral
2008-05-01,0.178,Neutral
2008-06-01,0.215,Neutral
2008-07-01,0.246,Neutral
2008-08-01,0.124,Neutral
2008-09-01,0.086,Neutral
2008-10-01,0.029,Neutral
2008-11-01,-0.128,Neutral
2008-12-01,-0.053,Neutral
2009-01-01,0.031,Neutral
2009-02-01,0.163,Neutral
2009-03-01,0.1,Neutral
2009-04-01,0.126,Neutral
2009-05-01,0.256,Neutral
2009-06-01,0.1,Neutral
2009-07-01,-0.192,Neutral
2009-08-01,-0.104,Neutral
2009-09-01,-0.103,Neutral
2009-10-01,-0.013,Neutral
2009-11-01,-0.067,Neutral
2009-12-01,0.16,Neutral
2010-01-01,0.294,Neutral
2010-02-01,0.023,Neutral
2010-03-01,0.458,Positive
2010-04-01,0.37,Neutral
2010-05-01,-0.03,Neutral
2010-06-01,-0.14,Neutral
2010-07-01,-0.001,Neutral
2010-08-01,-0.062,Neutral
2010-09-01,-0.268,Neutral
2010-10-01,-0.437,Negative
2010-11-01,-0.495,Negative
2010-12-01,-0.212,Neutral
2011-01-01,0.192,Neutral
2011-02-01,0.242,Neutral
2011-03-01,0.367,Neutral
2011-04-01,0.154,Neutral
2011-05-01,-0.089,Neutral
2011-06-01,0.055,Neutral
2011-07-01,0.223,Neutral
2011-08-01,0.344,Neutral
2011-09-01,0.202,Neutral
2011-10-01,0.356,Neutral
2011-11-01,0.336,Neutral
2011-12-01,-0.128,Neutral
2012-01-01,0.046,Neutral
2012-02-01,-0.078,Neutral
2012-03-01,0.026,Neutral
2012-04-01,-0.271,Neutral
2012-05-01,-0.37,Neutral
2012-06-01,0.001,Neutral
2012-07-01,0.546,Positive
2012-08-01,0.652,Positive
2012-09-01,0.453,Positive
2012-10-01,0.11,Neutral
2012-11-01,-0.1,Neutral
2012-12-01,0.268,Neutral
2013-01-01,-0.065,Neutral
