time,Mean,Maximum,Minimum,Std_Dev
2006,0.057499994,1.0,-0.84,0.6555237
2007,-0.5733333,0.64,-1.19,0.6103104
2008,-1.0525,-0.78,-1.52,0.19698292
2009,-0.025000012,1.04,-1.01,0.7929175
2010,-0.87166667,1.33,-2.42,1.5323709
2011,-1.2775,-0.75,-1.77,0.3517521
2012,-0.295,0.34,-1.07,0.36609736
2013,-0.38583335,-0.06,-1.14,0.33192164
2014,0.0050000027,0.41,-0.5,0.2998333
2015,1.2991667,2.24,0.06,0.88060373
2016,0.45833334,1.93,-0.54,0.9849304
2017,-0.47166666,0.2,-0.74,0.2809993
2018,-0.25,0.62,-1.32,0.66904277
2019,0.34583333,0.76,0.09,0.17333406
2020,-0.57666665,0.26,-1.17,0.58484393
2021,-1.1808333,-0.79,-1.46,0.21773456
2022,-1.5500001,-0.98,-2.17,0.35290998
2023,0.12166666,1.13,-1.11,0.7452862
2024,-0.15166667,0.78,-0.91,0.63937235
2025,-0.8875,-0.36,-1.22,0.29766133
