Date,HeatFlux
2006-01-01,-602064.56
2006-01-08,-431927.78
2006-01-15,-375520.72
2006-01-22,-567096.94
2006-01-29,-629579.1
2006-02-01,-507468.84
2006-02-08,-451381.47
2006-02-15,-365016.38
2006-02-22,-380272.38
2006-03-01,-356879.03
2006-03-08,-394985.78
2006-03-15,-411685.2
2006-03-22,-375482.12
2006-03-29,-354122.2
2006-04-01,-365950.84
2006-04-08,-425509.9
2006-04-15,-353134.75
2006-04-22,-355739.25
2006-04-29,-471648.94
2006-05-01,-346596.56
2006-05-08,-403164.75
2006-05-15,-465908.88
2006-05-22,-574512.7
2006-05-29,-604343.6
2006-06-01,-490869.25
2006-06-08,-494186.97
2006-06-15,-488770.16
2006-06-22,-473686.44
2006-06-29,-570764.9
2006-07-01,-618482.25
2006-07-08,-425571.28
2006-07-15,-592080.56
2006-07-22,-401906.44
2006-07-29,-522306.22
2006-08-01,-511365.2
2006-08-08,-582466.1
2006-08-15,-519042.06
2006-08-22,-435797.44
2006-08-29,-498560.38
2006-09-01,-459661.56
2006-09-08,-350984.72
2006-09-15,-605797.94
2006-09-22,-408061.62
2006-09-29,-497185.56
2006-10-01,-439352.03
2006-10-08,-466704.84
2006-10-15,-297222.4
2006-10-22,-404407.6
2006-10-29,-402933.25
2006-11-01,-372748.75
2006-11-08,-464607.9
2006-11-15,-484487.03
2006-11-22,-357260.66
2006-11-29,-745621.25
2006-12-01,-678986.9
2006-12-08,-559021.2
2006-12-15,-648844.75
2006-12-22,-837875.0
2006-12-29,-660713.5
2007-01-01,-621992.94
2007-01-08,-553110.44
2007-01-15,-465543.03
2007-01-22,-571179.06
2007-01-29,-583334.7
2007-02-01,-662764.4
2007-02-08,-408305.25
2007-02-15,-304052.62
2007-02-22,-577771.44
2007-03-01,-358732.88
2007-03-08,-486687.16
2007-03-15,-317928.1
2007-03-22,-369304.47
2007-03-29,-325217.94
2007-04-01,-276275.78
2007-04-08,-324996.78
2007-04-15,-439936.28
2007-04-22,-379706.72
2007-04-29,-352186.72
2007-05-01,-400710.2
2007-05-08,-516002.28
2007-05-15,-444398.8
2007-05-22,-478046.97
2007-05-29,-456478.9
2007-06-01,-412967.1
2007-06-08,-522405.97
2007-06-15,-506446.97
2007-06-22,-600607.6
2007-06-29,-520568.44
2007-07-01,-434068.44
2007-07-08,-503214.03
2007-07-15,-530063.5
2007-07-22,-378453.78
2007-07-29,-427501.6
2007-08-01,-633752.0
2007-08-08,-484729.72
2007-08-15,-388214.56
2007-08-22,-422460.9
2007-08-29,-459455.16
2007-09-01,-531595.4
2007-09-08,-368662.62
2007-09-15,-486463.53
2007-09-22,-504557.4
2007-09-29,-476022.53
2007-10-01,-548364.9
2007-10-08,-396995.0
2007-10-15,-297666.94
2007-10-22,-431233.53
2007-10-29,-387678.94
2007-11-01,-369981.78
2007-11-08,-421746.94
2007-11-15,-386319.2
2007-11-22,-383649.72
2007-11-29,-690554.94
2007-12-01,-676929.06
2007-12-08,-471915.9
2007-12-15,-484229.56
2007-12-22,-338577.84
2007-12-29,-482168.22
2008-01-01,-637325.06
2008-01-08,-443363.5
2008-01-15,-496521.66
2008-01-22,-491620.8
2008-01-29,-324592.62
2008-02-01,-293759.97
2008-02-08,-292989.06
2008-02-15,-551652.94
2008-02-22,-572342.75
2008-02-29,-335846.28
2008-03-01,-315712.12
2008-03-08,-486321.22
2008-03-15,-348401.2
2008-03-22,-314697.38
2008-03-29,-349677.9
2008-04-01,-325969.34
2008-04-08,-342449.34
2008-04-15,-374735.62
2008-04-22,-326136.88
2008-04-29,-625395.8
2008-05-01,-572574.9
2008-05-08,-502202.75
2008-05-15,-573524.44
2008-05-22,-392599.6
2008-05-29,-471191.5
2008-06-01,-487398.94
2008-06-08,-481469.75
2008-06-15,-575993.6
2008-06-22,-611769.3
2008-06-29,-491278.12
2008-07-01,-459425.4
2008-07-08,-538284.9
2008-07-15,-449573.0
2008-07-22,-519429.2
2008-07-29,-564289.6
2008-08-01,-407255.34
2008-08-08,-647120.94
2008-08-15,-438631.0
2008-08-22,-408391.16
2008-08-29,-396785.3
2008-09-01,-321802.66
2008-09-08,-590724.5
2008-09-15,-508327.84
2008-09-22,-445560.1
2008-09-29,-386396.0
2008-10-01,-324869.44
2008-10-08,-324246.62
2008-10-15,-376162.75
2008-10-22,-472116.53
2008-10-29,-411017.44
2008-11-01,-473472.0
2008-11-08,-402076.62
2008-11-15,-491653.06
2008-11-22,-493383.88
2008-11-29,-533295.6
2008-12-01,-599519.8
2008-12-08,-458182.84
2008-12-15,-591488.3
2008-12-22,-695195.0
2008-12-29,-688398.8
2009-01-01,-630683.56
2009-01-08,-582993.6
2009-01-15,-921254.06
2009-01-22,-546879.3
2009-01-29,-368020.6
2009-02-01,-414850.84
2009-02-08,-460138.03
2009-02-15,-435132.72
2009-02-22,-274865.78
2009-03-01,-306423.06
2009-03-08,-360689.44
2009-03-15,-357407.28
2009-03-22,-342462.16
2009-03-29,-372410.66
2009-04-01,-472470.94
2009-04-08,-421107.3
2009-04-15,-490936.94
2009-04-22,-528838.8
2009-04-29,-497062.6
2009-05-01,-444947.5
2009-05-08,-484668.06
2009-05-15,-372440.5
2009-05-22,-692671.5
2009-05-29,-508282.8
2009-06-01,-536600.2
2009-06-08,-579867.9
2009-06-15,-510696.56
2009-06-22,-511216.84
2009-06-29,-456857.78
2009-07-01,-494201.3
2009-07-08,-442959.44
2009-07-15,-519618.8
2009-07-22,-432493.97
2009-07-29,-485400.2
2009-08-01,-600101.8
2009-08-08,-504892.28
2009-08-15,-351450.72
2009-08-22,-591924.6
2009-08-29,-428186.28
2009-09-01,-586090.06
2009-09-08,-484882.38
2009-09-15,-383891.12
2009-09-22,-474462.22
2009-09-29,-644225.06
2009-10-01,-590200.2
2009-10-08,-383406.38
2009-10-15,-309785.88
2009-10-22,-420859.47
2009-10-29,-430973.6
2009-11-01,-501603.5
2009-11-08,-378459.6
2009-11-15,-374761.88
2009-11-22,-562013.0
2009-11-29,-443645.8
2009-12-01,-477830.7
2009-12-08,-544125.75
2009-12-15,-462540.78
2009-12-22,-528514.56
2009-12-29,-595355.6
2010-01-01,-656791.5
2010-01-08,-294152.5
2010-01-15,-549286.3
2010-01-22,-501424.34
2010-01-29,-487660.38
2010-02-01,-528306.8
2010-02-08,-471027.62
2010-02-15,-408165.56
2010-02-22,-507869.34
2010-03-01,-405698.2
2010-03-08,-307375.72
2010-03-15,-333024.72
2010-03-22,-321407.06
2010-03-29,-313834.9
2010-04-01,-361390.25
2010-04-08,-339194.44
2010-04-15,-422280.62
2010-04-22,-381907.88
2010-04-29,-439817.06
2010-05-01,-363543.75
2010-05-08,-392479.22
2010-05-15,-415706.28
2010-05-22,-562273.4
2010-05-29,-481551.47
2010-06-01,-427197.0
2010-06-08,-572762.8
2010-06-15,-475479.4
2010-06-22,-641477.56
2010-06-29,-465466.97
2010-07-01,-605308.25
2010-07-08,-411276.03
2010-07-15,-439689.25
2010-07-22,-500255.6
2010-07-29,-498568.12
2010-08-01,-441058.5
2010-08-08,-440690.56
2010-08-15,-428119.38
2010-08-22,-496522.56
2010-08-29,-569992.3
2010-09-01,-419769.72
2010-09-08,-374513.72
2010-09-15,-467090.1
2010-09-22,-314682.9
2010-09-29,-299501.62
2010-10-01,-328165.2
2010-10-08,-547693.6
2010-10-15,-502958.03
2010-10-22,-461549.53
2010-10-29,-514034.94
2010-11-01,-482494.62
2010-11-08,-363358.88
2010-11-15,-428827.9
2010-11-22,-410291.66
2010-11-29,-500538.38
2010-12-01,-485470.8
2010-12-08,-352574.2
2010-12-15,-479929.06
2010-12-22,-528986.2
2010-12-29,-571435.5
2011-01-01,-414987.88
2011-01-08,-401615.28
2011-01-15,-575091.1
2011-01-22,-683513.44
2011-01-29,-516958.94
2011-02-01,-513151.5
2011-02-08,-406831.56
2011-02-15,-353334.72
2011-02-22,-453031.03
2011-03-01,-476394.9
2011-03-08,-329702.1
2011-03-15,-416857.2
2011-03-22,-305620.47
2011-03-29,-523926.62
2011-04-01,-367445.4
2011-04-08,-324291.56
2011-04-15,-373725.44
2011-04-22,-361590.3
2011-04-29,-386590.75
2011-05-01,-413818.12
2011-05-08,-637766.2
2011-05-15,-403793.97
2011-05-22,-468499.06
2011-05-29,-511361.2
2011-06-01,-554672.25
2011-06-08,-520613.66
2011-06-15,-704632.3
2011-06-22,-507717.38
2011-06-29,-415995.75
2011-07-01,-436709.47
2011-07-08,-428116.16
2011-07-15,-586450.44
2011-07-22,-517908.28
2011-07-29,-596296.1
2011-08-01,-536562.94
2011-08-08,-425491.47
2011-08-15,-393624.12
2011-08-22,-435228.2
2011-08-29,-551370.3
2011-09-01,-457695.16
2011-09-08,-460763.38
2011-09-15,-456110.94
2011-09-22,-478921.2
2011-09-29,-401482.28
2011-10-01,-397081.0
2011-10-08,-298701.66
2011-10-15,-341993.06
2011-10-22,-365316.84
2011-10-29,-444352.97
2011-11-01,-384413.3
2011-11-08,-522075.72
2011-11-15,-449614.8
2011-11-22,-659662.0
2011-11-29,-448793.03
2011-12-01,-437786.25
2011-12-08,-416387.72
2011-12-15,-749087.25
2011-12-22,-650080.1
2011-12-29,-478033.25
2012-01-01,-311368.38
2012-01-08,-484291.4
2012-01-15,-784012.3
2012-01-22,-602708.44
2012-01-29,-566922.44
2012-02-01,-553932.9
2012-02-08,-362213.75
2012-02-15,-361692.7
2012-02-22,-465198.1
2012-02-29,-290828.34
2012-03-01,-335875.66
2012-03-08,-354671.75
2012-03-15,-322261.0
2012-03-22,-394305.4
2012-03-29,-326232.88
2012-04-01,-383067.0
2012-04-08,-405627.0
2012-04-15,-355899.0
2012-04-22,-425382.75
2012-04-29,-492900.6
2012-05-01,-521224.28
2012-05-08,-405679.78
2012-05-15,-498953.7
2012-05-22,-490209.16
2012-05-29,-598430.2
