Date,HeatFlux
2006-01-01,-84242.97
2006-01-08,-88370.82
2006-01-15,-93596.484
2006-01-22,-102541.164
2006-01-29,-116217.23
2006-02-01,-109142.414
2006-02-08,-114729.32
2006-02-15,-125143.414
2006-02-22,-134220.56
2006-03-01,-144945.12
2006-03-08,-157532.97
2006-03-15,-161629.0
2006-03-22,-177606.08
2006-03-29,-164783.33
2006-04-01,-187229.27
2006-04-08,-187311.31
2006-04-15,-184469.47
2006-04-22,-170475.98
2006-04-29,-96985.82
2006-05-01,-161111.23
2006-05-08,-150775.97
2006-05-15,-104397.91
2006-05-22,-112643.234
2006-05-29,-77685.484
2006-06-01,-94481.56
2006-06-08,-57912.566
2006-06-15,-103573.02
2006-06-22,-86653.49
2006-06-29,-66910.63
2006-07-01,-37001.85
2006-07-08,-20376.092
2006-07-15,-35802.156
2006-07-22,-55559.984
2006-07-29,-25813.607
2006-08-01,-38052.6
2006-08-08,-50734.742
2006-08-15,-47583.48
2006-08-22,-21627.643
2006-08-29,-26737.62
2006-09-01,-53457.875
2006-09-08,-65354.277
2006-09-15,-64727.27
2006-09-22,-32727.494
2006-09-29,-48048.7
2006-10-01,-63116.33
2006-10-08,-35211.254
2006-10-15,-67229.8
2006-10-22,-78326.016
2006-10-29,-70605.7
2006-11-01,-59124.03
2006-11-08,-63995.75
2006-11-15,-71413.44
2006-11-22,-75613.82
2006-11-29,-84605.02
2006-12-01,-80016.45
2006-12-08,-78091.48
2006-12-15,-91605.195
2006-12-22,-90573.63
2006-12-29,-88066.62
2007-01-01,-94476.55
2007-01-08,-100904.79
2007-01-15,-103827.29
2007-01-22,-103236.28
2007-01-29,-105916.08
2007-02-01,-96374.68
2007-02-08,-94348.875
2007-02-15,-101569.164
2007-02-22,-132791.22
2007-03-01,-144538.92
2007-03-08,-166836.5
2007-03-15,-160627.42
2007-03-22,-165633.7
2007-03-29,-186930.56
2007-04-01,-192544.23
2007-04-08,-194181.27
2007-04-15,-150101.55
2007-04-22,-173330.9
2007-04-29,-188895.44
2007-05-01,-186536.81
2007-05-08,-120625.33
2007-05-15,-94804.0
2007-05-22,-73812.4
2007-05-29,-119174.414
2007-06-01,-122555.12
2007-06-08,-102954.2
2007-06-15,-65278.574
2007-06-22,-93616.96
2007-06-29,-22694.504
2007-07-01,-45635.402
2007-07-08,-46785.797
2007-07-15,-32517.814
2007-07-22,-38504.348
2007-07-29,-66570.29
2007-08-01,-56090.453
2007-08-08,-50481.582
2007-08-15,-27341.709
2007-08-22,-58508.652
2007-08-29,-56656.62
2007-09-01,-59199.09
2007-09-08,-37612.12
2007-09-15,-48321.44
2007-09-22,-32765.176
2007-09-29,-43395.035
2007-10-01,-63552.19
2007-10-08,-25427.129
2007-10-15,-49091.184
2007-10-22,-61774.22
2007-10-29,-73622.984
2007-11-01,-49476.44
2007-11-08,-67540.85
2007-11-15,-57405.88
2007-11-22,-73138.08
2007-11-29,-71338.91
2007-12-01,-73111.28
2007-12-08,-83090.266
2007-12-15,-61188.105
2007-12-22,-74489.84
2007-12-29,-90003.31
2008-01-01,-95722.17
2008-01-08,-86191.68
2008-01-15,-95781.414
2008-01-22,-105859.83
2008-01-29,-102370.91
2008-02-01,-100235.18
2008-02-08,-84216.086
2008-02-15,-133766.17
2008-02-22,-149556.75
2008-02-29,-151574.11
2008-03-01,-147761.48
2008-03-08,-146578.39
2008-03-15,-151451.77
2008-03-22,-159679.83
2008-03-29,-168151.62
2008-04-01,-149851.25
2008-04-08,-173477.75
2008-04-15,-192487.98
2008-04-22,-190299.0
2008-04-29,-142524.47
2008-05-01,-153895.92
2008-05-08,-165463.44
2008-05-15,-103973.25
2008-05-22,-127487.87
2008-05-29,-91141.445
2008-06-01,-121331.58
2008-06-08,-70375.4
2008-06-15,-29505.33
2008-06-22,-61101.086
2008-06-29,-21293.412
2008-07-01,-24187.654
2008-07-08,-29006.807
2008-07-15,-40755.57
2008-07-22,-43563.082
2008-07-29,-39454.49
2008-08-01,-46105.38
2008-08-08,-24671.006
2008-08-15,-35489.406
2008-08-22,-52611.547
2008-08-29,-42752.23
2008-09-01,-55512.63
2008-09-08,-57452.984
2008-09-15,-48283.754
2008-09-22,-50610.836
2008-09-29,-60353.836
2008-10-01,-42169.746
2008-10-08,-62980.56
2008-10-15,-67343.37
2008-10-22,-75517.98
2008-10-29,-56660.625
2008-11-01,-57771.01
2008-11-08,-60763.46
2008-11-15,-63300.234
2008-11-22,-73680.73
2008-11-29,-71344.836
2008-12-01,-80593.8
2008-12-08,-77687.04
2008-12-15,-87105.39
2008-12-22,-82158.33
2008-12-29,-93869.87
2009-01-01,-93720.234
2009-01-08,-92065.88
2009-01-15,-106477.62
2009-01-22,-109184.46
2009-01-29,-117394.195
2009-02-01,-124098.59
2009-02-08,-124411.42
2009-02-15,-134757.42
2009-02-22,-129841.086
2009-03-01,-150031.25
2009-03-08,-174155.97
2009-03-15,-141985.3
2009-03-22,-169985.08
2009-03-29,-179049.14
2009-04-01,-166289.58
2009-04-08,-187460.89
2009-04-15,-189415.7
2009-04-22,-164018.19
2009-04-29,-193880.38
2009-05-01,-189158.72
2009-05-08,-186219.19
2009-05-15,-137693.08
2009-05-22,-163075.94
2009-05-29,-93299.32
2009-06-01,-85905.11
2009-06-08,-49156.2
2009-06-15,-108181.914
2009-06-22,-97614.44
2009-06-29,-49755.42
2009-07-01,-33298.062
2009-07-08,-53977.918
2009-07-15,-40423.695
2009-07-22,-40735.44
2009-07-29,-21392.293
