Date,HeatFlux
2006-01-01,-52535.957
2006-01-08,-54156.133
2006-01-15,-36205.594
2006-01-22,-51070.84
2006-01-29,-40210.9
2006-02-01,-38573.555
2006-02-08,-45247.71
2006-02-15,-39422.74
2006-02-22,-56033.53
2006-03-01,-36998.633
2006-03-08,-40893.875
2006-03-15,-52586.69
2006-03-22,-56044.12
2006-03-29,-45106.797
2006-04-01,-47563.117
2006-04-08,-44976.71
2006-04-15,-44099.824
2006-04-22,-83262.99
2006-04-29,-37577.6
2006-05-01,-34485.043
2006-05-08,-40294.63
2006-05-15,-70676.555
2006-05-22,-68821.77
2006-05-29,-36477.2
2006-06-01,-28127.209
2006-06-08,-53880.11
2006-06-15,-56778.535
2006-06-22,-53705.266
2006-06-29,-30409.062
2006-07-01,-46510.63
2006-07-08,-48812.742
2006-07-15,-40536.65
2006-07-22,-33328.418
2006-07-29,-35428.734
2006-08-01,-38018.48
2006-08-08,-44505.57
2006-08-15,-45056.85
2006-08-22,-38604.59
2006-08-29,-61837.766
2006-09-01,-55527.812
2006-09-08,-48425.613
2006-09-15,-37632.2
2006-09-22,-32852.258
2006-09-29,-65519.9
2006-10-01,-51745.88
2006-10-08,-38126.336
2006-10-15,-43157.535
2006-10-22,-45223.906
2006-10-29,-42179.71
2006-11-01,-44541.11
2006-11-08,-41816.84
2006-11-15,-52644.91
2006-11-22,-44214.973
2006-11-29,-54372.668
2006-12-01,-53813.812
2006-12-08,-48703.113
2006-12-15,-48911.73
2006-12-22,-49473.844
2006-12-29,-41595.41
2007-01-01,-46182.812
2007-01-08,-33924.742
2007-01-15,-40130.332
2007-01-22,-42962.36
2007-01-29,-47876.945
2007-02-01,-46866.453
2007-02-08,-35861.715
2007-02-15,-43752.72
2007-02-22,-43780.867
2007-03-01,-34110.99
2007-03-08,-43488.66
2007-03-15,-40266.848
2007-03-22,-50915.195
2007-03-29,-40369.72
2007-04-01,-44318.16
2007-04-08,-58092.42
2007-04-15,-47470.637
2007-04-22,-54017.293
2007-04-29,-50654.61
2007-05-01,-55156.344
2007-05-08,-45958.09
2007-05-15,-44644.285
2007-05-22,-33947.336
2007-05-29,-57070.98
2007-06-01,-37044.26
2007-06-08,-51287.703
2007-06-15,-58663.52
2007-06-22,-22296.062
2007-06-29,-24010.006
2007-07-01,-22725.693
2007-07-08,-36617.45
2007-07-15,-45953.914
2007-07-22,-51775.316
2007-07-29,-39092.848
2007-08-01,-29920.982
2007-08-08,-37476.273
2007-08-15,-48153.65
2007-08-22,-47791.043
2007-08-29,-49996.78
2007-09-01,-41943.58
2007-09-08,-45153.797
2007-09-15,-50358.207
2007-09-22,-36317.875
2007-09-29,-61454.055
2007-10-01,-53056.93
2007-10-08,-31886.775
2007-10-15,-43805.113
2007-10-22,-61224.67
2007-10-29,-28256.527
2007-11-01,-39986.824
2007-11-08,-61901.973
2007-11-15,-31548.535
2007-11-22,-29960.248
2007-11-29,-47207.34
2007-12-01,-58266.734
2007-12-08,-61416.152
2007-12-15,-41218.594
2007-12-22,-41540.395
2007-12-29,-35933.42
2008-01-01,-41560.633
2008-01-08,-37870.168
2008-01-15,-42728.04
2008-01-22,-43358.445
2008-01-29,-41527.74
2008-02-01,-32552.602
2008-02-08,-33020.395
2008-02-15,-40525.574
2008-02-22,-54542.605
2008-02-29,-33663.56
2008-03-01,-41806.383
2008-03-08,-71668.95
2008-03-15,-62709.836
2008-03-22,-29095.617
2008-03-29,-51128.17
2008-04-01,-31982.156
2008-04-08,-52002.848
2008-04-15,-57923.902
2008-04-22,-55740.973
2008-04-29,-33404.77
2008-05-01,-28374.05
2008-05-08,-65564.586
2008-05-15,-41477.336
2008-05-22,-42665.14
2008-05-29,-59429.574
2008-06-01,-64898.117
2008-06-08,-38208.95
2008-06-15,-42412.555
2008-06-22,-68774.836
2008-06-29,-35705.637
2008-07-01,-39806.855
2008-07-08,-58654.508
2008-07-15,-75288.85
2008-07-22,-51212.99
2008-07-29,-27081.293
2008-08-01,-36882.45
2008-08-08,-41337.355
2008-08-15,-45647.93
2008-08-22,-53096.344
2008-08-29,-57744.82
2008-09-01,-33254.367
2008-09-08,-40486.83
2008-09-15,-31505.64
2008-09-22,-32291.07
2008-09-29,-68586.86
2008-10-01,-38061.254
2008-10-08,-60503.465
2008-10-15,-47649.3
2008-10-22,-26065.547
2008-10-29,-43904.047
2008-11-01,-58146.832
2008-11-08,-45685.09
2008-11-15,-42312.61
2008-11-22,-57859.707
2008-11-29,-47061.32
2008-12-01,-55127.29
2008-12-08,-43699.016
2008-12-15,-45893.254
2008-12-22,-49318.47
2008-12-29,-43224.2
2009-01-01,-48871.297
2009-01-08,-37669.844
2009-01-15,-61522.113
2009-01-22,-41576.7
2009-01-29,-49410.58
2009-02-01,-31585.365
2009-02-08,-38129.76
2009-02-15,-42376.76
2009-02-22,-38526.895
2009-03-01,-35787.94
2009-03-08,-41665.01
2009-03-15,-49243.055
2009-03-22,-35854.2
2009-03-29,-43824.363
2009-04-01,-52706.605
2009-04-08,-61075.016
2009-04-15,-38159.508
2009-04-22,-34628.44
2009-04-29,-49503.9
2009-05-01,-45188.184
2009-05-08,-53434.234
2009-05-15,-93284.0
2009-05-22,-33403.625
2009-05-29,-40984.53
2009-06-01,-31936.252
2009-06-08,-31916.223
2009-06-15,-46624.0
2009-06-22,-49413.168
2009-06-29,-39518.703
2009-07-01,-52734.074
2009-07-08,-32327.865
2009-07-15,-41701.645
2009-07-22,-43167.215
2009-07-29,-38969.668
2009-08-01,-53292.133
2009-08-08,-41524.5
2009-08-15,-42553.492
2009-08-22,-47818.543
2009-08-29,-57103.227
2009-09-01,-31914.098
2009-09-08,-31949.396
2009-09-15,-50647.188
2009-09-22,-38614.508
2009-09-29,-59008.055
2009-10-01,-44456.926
2009-10-08,-40742.445
2009-10-15,-37753.895
2009-10-22,-57090.46
2009-10-29,-41227.48
2009-11-01,-52595.652
2009-11-08,-44366.01
2009-11-15,-48725.61
2009-11-22,-57410.543
2009-11-29,-37567.43
2009-12-01,-46318.246
2009-12-08,-45135.504
2009-12-15,-35604.375
2009-12-22,-44421.69
2009-12-29,-58660.72
2010-01-01,-41646.03
2010-01-08,-26132.297
2010-01-15,-49664.344
2010-01-22,-33971.89
2010-01-29,-50136.555
2010-02-01,-45634.914
2010-02-08,-48454.836
2010-02-15,-41779.36
2010-02-22,-38015.15
2010-03-01,-39226.49
2010-03-08,-34931.68
2010-03-15,-47907.72
2010-03-22,-44063.41
2010-03-29,-36472.402
2010-04-01,-49159.973
2010-04-08,-49969.21
2010-04-15,-39170.426
2010-04-22,-57344.516
2010-04-29,-46118.637
2010-05-01,-35804.02
2010-05-08,-62895.574
2010-05-15,-71821.36
2010-05-22,-43761.98
2010-05-29,-38576.555
2010-06-01,-42347.523
2010-06-08,-77574.79
2010-06-15,-36337.125
2010-06-22,-56052.7
2010-06-29,-58865.18
2010-07-01,-43284.266
