Start_Date,End_Date,Duration,Mean_Intensity,SLHF_Climatology,SLHF_During,SLHF_Anomaly,SSHF_Climatology,SSHF_During,SSHF_Anomaly
2010-03-18,2010-04-11,25,0.2098763521290332,-385976.97,-333670.97,52306.0,-29881.705,-25998.055,3883.6504
2010-04-23,2010-05-03,11,0.0569952196480943,-388809.84,-414272.44,-25462.594,-33946.47,-42894.19,-8947.723
2010-05-07,2010-05-18,12,0.2333294817204298,-482452.97,-411351.34,71101.625,-37386.82,-37725.605,-338.78516
2010-09-27,2010-10-03,7,0.2004765953917058,-466205.1,-310833.28,155371.81,-38608.69,-37779.668,829.02344
2015-11-21,2015-11-25,5,0.0158709148387117,-466631.03,-509699.47,-43068.438,-41265.39,-34274.953,6990.4375
2016-01-01,2016-01-08,8,0.1669550552969183,-561030.75,-697791.06,-136760.31,-38235.285,-43486.492,-5251.207
2016-05-05,2016-05-19,15,0.2014103443010744,-482452.97,-528606.0,-46153.03,-37386.82,-50650.652,-13263.832
2016-08-22,2016-08-29,8,0.0657481310483869,-500356.0,-416985.75,83370.25,-34290.63,-36272.63,-1982.0
2017-09-10,2017-09-15,6,0.1148459473118273,-466205.1,-584736.3,-118531.22,-38608.69,-60776.477,-22167.785
2019-10-01,2019-11-04,35,0.2293891580645162,-415979.62,-379732.47,36247.156,-39772.184,-41585.57,-1813.3867
2020-05-06,2020-05-12,7,0.0605500820276496,-482452.97,-353784.38,128668.59,-37386.82,-26516.3,10870.52
2020-06-23,2020-07-02,10,0.0815466109677412,-537206.7,-544398.2,-7191.5,-34511.586,-48840.1,-14328.516
2020-07-18,2020-08-03,17,0.229599138899432,-523388.0,-573633.0,-50245.0,-31378.242,-50576.656,-19198.414
2020-08-27,2020-09-19,24,0.43032667782258,-500356.0,-422663.0,77693.0,-34290.63,-39174.22,-4883.59
2021-01-07,2021-01-15,9,0.0302630636293442,-561030.75,-480794.4,80236.34,-38235.285,-30094.447,8140.838
2021-05-14,2021-05-21,8,0.3043162439516114,-482452.97,-484125.8,-1672.8438,-37386.82,-29216.797,8170.0234
2021-06-02,2021-06-08,7,0.212865931336406,-537206.7,-688979.4,-151772.69,-34511.586,-68111.36,-33599.773
2021-07-04,2021-07-08,5,0.0772426858064541,-523388.0,-559530.25,-36142.25,-31378.242,-43304.785,-11926.543
2022-01-22,2022-01-29,8,0.0742309411290338,-561030.75,-444646.06,116384.69,-38235.285,-44024.305,-5789.0195
2022-03-27,2022-04-02,7,0.1055733511520732,-385976.97,-342510.7,43466.28,-29881.705,-25748.205,4133.5
2022-04-22,2022-05-05,14,0.1377281096774196,-388809.84,-389438.78,-628.9375,-33946.47,-34107.484,-161.01562
2022-06-29,2022-07-04,6,0.0530952000000013,-537206.7,-469756.3,67450.375,-34511.586,-30035.746,4475.84
2022-07-25,2022-08-03,10,0.2528771548387116,-523388.0,-394884.06,128503.94,-31378.242,-41798.45,-10420.207
2022-08-28,2022-09-06,10,0.2365157603225793,-500356.0,-353631.56,146724.44,-34290.63,-33722.74,567.8906
2023-05-04,2023-05-09,6,0.1544696059139774,-482452.97,-399478.38,82974.59,-37386.82,-38578.723,-1191.9023
2023-05-31,2023-06-06,7,0.0267676981566822,-482452.97,-536948.9,-54495.906,-37386.82,-35927.457,1459.3633
2023-11-04,2023-11-29,26,0.088796441935485,-466631.03,-431627.75,35003.28,-41265.39,-40204.453,1060.9375
2023-12-07,2023-12-23,17,0.0982123543370902,-570255.1,-435073.16,135181.97,-41311.406,-32695.385,8616.021
2024-01-01,2024-01-11,11,0.1532108770119778,-561030.75,-579974.1,-18943.375,-38235.285,-37086.64,1148.6445
2024-01-24,2024-02-18,26,0.0951408295285363,-561030.75,-444167.8,116862.94,-38235.285,-28683.76,9551.525
2024-04-11,2024-05-24,44,0.4071737870967743,-388809.84,-427820.4,-39010.562,-33946.47,-39140.625,-5194.1562
2024-07-08,2024-07-13,6,0.0651807682795713,-523388.0,-449271.9,74116.09,-31378.242,-37531.113,-6152.871
2024-08-09,2024-08-28,20,0.2428046654838697,-500356.0,-535751.6,-35395.625,-34290.63,-30016.791,4273.838
2024-09-27,2024-10-02,6,0.22267299032258,-466205.1,-377921.3,88283.78,-38608.69,-29467.46,9141.23
2024-10-05,2024-10-21,17,0.1953763377609117,-415979.62,-439686.5,-23706.875,-39772.184,-42756.75,-2984.5664
2024-10-28,2024-12-19,53,0.1525969444041741,-415979.62,-497459.34,-81479.72,-39772.184,-42503.63,-2731.4453
2025-01-01,2025-01-15,15,0.1477862590395202,-561030.75,-690906.7,-129875.94,-38235.285,-48501.61,-10266.324
2025-02-20,2025-03-25,34,0.1676668997153705,-480916.66,-403039.16,77877.5,-33119.156,-28228.338,4890.8184
2025-07-12,2025-07-17,6,0.0526631844086047,-523388.0,-441757.88,81630.125,-31378.242,-31705.953,-327.71094
2025-08-01,2025-08-13,13,0.1924299923076933,-500356.0,-365545.56,134810.44,-34290.63,-32259.547,2031.082
