Start_Date,End_Date,Duration,Mean_Intensity,SLHF_Climatology,SLHF_During,SLHF_Anomaly,SSHF_Climatology,SSHF_During,SSHF_Anomaly
2006-03-06,2006-03-11,6,0.0699810010752699,-269298.38,-268873.06,425.3125,-155890.48,-157532.97,-1642.4844
2008-10-13,2008-10-18,6,0.0242448462365576,-367538.56,-384420.28,-16881.719,-56753.637,-67343.37,-10589.73
2009-11-14,2009-11-20,7,0.0863886460829489,-352312.62,-276458.34,75854.28,-68642.5,-74311.55,-5669.047
2010-03-16,2010-03-22,7,0.054277692626728,-269298.38,-289165.9,-19867.531,-155890.48,-167608.64,-11718.156
2014-06-11,2014-06-19,9,0.2710513136200683,-378367.0,-334150.2,44216.812,-79566.28,-87088.02,-7521.742
2016-02-18,2016-03-03,15,0.2163602610752692,-279213.22,-251446.75,27766.469,-120060.84,-129738.48,-9677.633
2016-03-06,2016-03-28,23,0.1550480144460032,-269298.38,-271059.16,-1760.7812,-155890.48,-164194.58,-8304.094
2016-08-26,2016-08-30,5,0.0507263948387084,-363422.8,-386832.88,-23410.062,-44727.9,-65785.24,-21057.344
2017-01-01,2017-01-07,7,0.146624434914126,-318099.56,-296671.12,21428.438,-97663.16,-83452.41,14210.75
2018-09-29,2018-10-07,9,0.2611873598566328,-368874.97,-355655.7,13219.281,-50193.12,-54957.367,-4764.246
2019-06-24,2019-06-29,6,0.0772094075268832,-378367.0,-431175.9,-52808.906,-79566.28,-78009.34,1556.9375
2019-10-17,2019-10-31,15,0.3160635933333326,-367538.56,-348989.3,18549.25,-56753.637,-65500.04,-8746.402
2020-05-11,2020-05-17,7,0.2228268479262663,-341668.0,-355223.28,-13555.281,-140003.42,-165094.58,-25091.156
2020-06-24,2020-07-05,12,0.100374485483871,-378367.0,-393291.75,-14924.75,-79566.28,-74935.125,4631.1562
2020-07-08,2020-07-13,6,0.0793521005376357,-380047.16,-383819.6,-3772.4375,-45231.875,-58379.348,-13147.473
2020-07-25,2020-08-13,20,0.2484124362903221,-380047.16,-381078.1,-1030.9375,-45231.875,-60636.75,-15404.875
2020-09-03,2020-09-23,21,0.4124759290322574,-368874.97,-404071.34,-35196.375,-50193.12,-50638.406,-445.28516
2021-01-07,2021-01-29,23,0.1192075750903569,-318099.56,-279054.2,39045.375,-97663.16,-101483.28,-3820.125
2021-05-08,2021-05-23,16,0.2496937469758062,-341668.0,-363233.66,-21565.656,-140003.42,-161934.56,-21931.14
2021-07-15,2021-07-20,6,0.0316215397849474,-380047.16,-409414.38,-29367.219,-45231.875,-73909.5,-28677.625
2021-08-31,2021-09-05,6,0.1580478387096775,-363422.8,-352949.53,10473.281,-44727.9,-65673.25,-20945.352
2021-10-06,2021-10-12,7,0.1451470981566827,-367538.56,-366375.94,1162.625,-56753.637,-62285.77,-5532.133
2021-11-17,2021-11-28,12,0.063558472311828,-352312.62,-311796.1,40516.53,-68642.5,-61879.117,6763.383
2021-12-03,2021-12-15,13,0.1603107506203471,-335458.38,-356430.8,-20972.438,-82355.3,-79929.75,2425.5469
2022-01-01,2022-01-06,6,0.1029862217937527,-318099.56,-399283.3,-81183.75,-97663.16,-95623.36,2039.7969
2022-07-27,2022-08-08,13,0.427123138709678,-380047.16,-413433.12,-33385.97,-45231.875,-67675.03,-22443.156
2022-08-29,2022-09-11,14,0.491046052534562,-363422.8,-407343.34,-43920.53,-44727.9,-69480.99,-24753.094
2023-01-01,2023-01-06,6,0.1497262217937525,-318099.56,-325427.75,-7328.1875,-97663.16,-86329.65,11333.508
2023-04-11,2023-05-11,31,0.2531448370447453,-300678.28,-298477.34,2200.9375,-171484.9,-167420.16,4064.75
2023-05-28,2023-06-21,25,0.1940704358709661,-341668.0,-344513.03,-2845.0312,-140003.42,-114528.91,25474.516
2023-06-30,2023-07-06,7,0.1878730447004609,-378367.0,-367319.16,11047.844,-79566.28,-75801.055,3765.2266
2023-08-30,2023-09-03,5,0.0736609045161294,-363422.8,-371404.9,-7982.0938,-44727.9,-62939.395,-18211.496
2023-10-10,2023-10-21,12,0.1652901744623654,-367538.56,-371797.06,-4258.5,-56753.637,-51948.535,4805.1016
2023-11-03,2023-11-09,7,0.1145240580645148,-352312.62,-378880.38,-26567.75,-68642.5,-63414.73,5227.7695
2023-12-03,2023-12-09,7,0.0939239815668204,-335458.38,-231637.36,103821.016,-82355.3,-44103.348,38251.95
2024-04-07,2024-05-25,49,0.3037085087557604,-300678.28,-312768.88,-12090.594,-171484.9,-161331.17,10153.734
2024-05-30,2024-06-06,8,0.1223167721774203,-341668.0,-343545.06,-1877.0625,-140003.42,-93294.945,46708.477
2024-10-07,2024-10-22,16,0.3530566467741929,-367538.56,-405940.0,-38401.438,-56753.637,-59617.37,-2863.7344
2024-10-30,2024-11-08,10,0.0674375983870962,-367538.56,-377471.9,-9933.344,-56753.637,-59248.58,-2494.9414
2024-11-10,2024-11-17,8,0.1177348536290323,-352312.62,-412863.16,-60550.53,-68642.5,-71014.984,-2372.4844
2024-11-30,2024-12-12,13,0.1210076367245655,-352312.62,-300720.88,51591.75,-68642.5,-66267.65,2374.8516
2025-01-01,2025-01-19,19,0.1455950015162347,-318099.56,-374223.16,-56123.594,-97663.16,-103937.195,-6274.039
