Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,ONI_30d_Before,ONI_21d_Before,ONI_14d_Before,ONI_7d_Before,ONI_During,ENSO_Phase
2024-10-28,2024-12-19,53,0.1525969444041741,0.2996832741935478,-0.19,-0.21,-0.21,-0.21,-0.30999997,Neutral
2024-04-11,2024-05-24,44,0.4071737870967743,0.9075480967741923,1.04,1.04,1.04,0.82,0.655,El Nino
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301,0.23,0.23,0.23,0.23,0.48499998,Neutral
2025-02-20,2025-03-25,34,0.1676668997153705,0.3363916258064527,-0.345,-0.345,-0.24,-0.24,-0.14999999,Neutral
2024-01-24,2024-02-18,26,0.0951408295285363,0.2722620870967738,1.99,1.92,1.92,1.92,1.77,El Nino
2023-11-04,2023-11-29,26,0.088796441935485,0.2644608838709708,1.9100001,1.9100001,1.9100001,1.9100001,1.99,El Nino
2010-03-18,2010-04-11,25,0.2098763521290332,0.3414879548387119,1.03,1.03,0.84,0.84,0.59499997,El Nino
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526,-0.445,-0.53,-0.53,-0.53,-0.69,La Nina
2024-08-09,2024-08-28,20,0.2428046654838697,0.355407532258063,0.004999999,0.004999999,0.004999999,-0.07,-0.07,Neutral
2023-12-07,2023-12-23,17,0.0982123543370902,0.2300287354838701,2.025,2.025,2.025,2.025,2.06,El Nino
