Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,ONI_30d_Before,ONI_21d_Before,ONI_14d_Before,ONI_7d_Before,ONI_During,ENSO_Phase
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526,-0.445,-0.53,-0.53,-0.53,-0.69,La Nina
2024-04-11,2024-05-24,44,0.4071737870967743,0.9075480967741923,1.04,1.04,1.04,0.82,0.655,El Nino
2021-05-14,2021-05-21,8,0.3043162439516114,0.5335736806451585,-0.47,-0.47,-0.47,-0.39,-0.39,Neutral
2022-07-25,2022-08-03,10,0.2528771548387116,0.416600174193551,-0.77,-0.76,-0.76,-0.76,-0.815,La Nina
2024-08-09,2024-08-28,20,0.2428046654838697,0.355407532258063,0.004999999,0.004999999,0.004999999,-0.07,-0.07,Neutral
2022-08-28,2022-09-06,10,0.2365157603225793,0.4335852096774175,-0.815,-0.87,-0.87,-0.87,-0.92,La Nina
2010-05-07,2010-05-18,12,0.2333294817204298,0.4567433709677395,0.089999996,0.089999996,0.089999996,0.089999996,-0.17,Neutral
2020-07-18,2020-08-03,17,0.229599138899432,0.5450539129032279,-0.29500002,-0.29500002,-0.36,-0.36,-0.445,Neutral
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301,0.23,0.23,0.23,0.23,0.48499998,Neutral
2024-09-27,2024-10-02,6,0.22267299032258,0.4511085483870936,-0.120000005,-0.17,-0.17,-0.17,-0.19,Neutral
