Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,ONI_30d_Before,ONI_21d_Before,ONI_14d_Before,ONI_7d_Before,ONI_During,ENSO_Phase
2024-06-14,2024-09-02,81,0.1455375629231377,0.4631175096774171,0.35500002,0.35500002,0.35500002,0.22,0.015000004,Neutral
2024-10-29,2025-01-16,79,0.2124868961572334,0.6199571483870976,-0.19,-0.21,-0.21,-0.21,-0.34499997,Neutral
2024-01-25,2024-03-08,44,0.1628428858504402,0.3416137032258,1.99,1.92,1.92,1.92,1.6,El Nino
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419352,1.04,1.04,1.04,0.82,0.655,El Nino
2015-12-08,2016-01-15,39,0.0980785984194082,0.2308253709677394,2.6950002,2.6950002,2.6950002,2.75,2.69,El Nino
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,1.38,1.38,1.05,1.05,0.77,El Nino
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,-0.445,-0.445,-0.53,-0.53,-0.69,La Nina
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434,1.9100001,1.9100001,1.9100001,1.9100001,1.99,El Nino
2015-10-11,2015-11-02,23,0.1582461234221601,0.3434494935483911,2.3400002,2.3400002,2.3400002,2.47,2.555,El Nino
2024-09-26,2024-10-12,17,0.1371748707779881,0.2684732903225857,-0.120000005,-0.17,-0.17,-0.17,-0.19,Neutral
