Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_2m,IOD_Phase_3m,IOD_Phase_6m
2006-03-06,2006-03-11,6,0.0699810010752699,0.1418800064516148,-0.2259999960660934,-0.3050000071525574,-0.135000005364418,,,Neutral,Neutral,Neutral,Unknown,Unknown
2008-10-13,2008-10-18,6,0.0242448462365576,0.0560024935483873,0.0289999991655349,0.0860000029206276,0.123999997973442,0.2460000067949295,-0.152999997138977,Neutral,Neutral,Neutral,Neutral,Neutral
2009-11-14,2009-11-20,7,0.0863886460829489,0.1618855193548363,-0.06700000166893,-0.0130000002682209,-0.1030000001192092,-0.1040000021457672,0.2560000121593475,Neutral,Neutral,Neutral,Neutral,Neutral
2010-03-16,2010-03-22,7,0.054277692626728,0.1173279161290352,0.4580000042915344,0.0230000000447034,0.2939999997615814,0.1599999964237213,-0.1030000001192092,Positive,Neutral,Neutral,Neutral,Neutral
2014-06-11,2014-06-19,9,0.2710513136200683,0.4585283129032298,-0.0280000008642673,-0.0920000001788139,-0.0579999983310699,-0.1509999930858612,0.1410000026226043,Neutral,Neutral,Neutral,Neutral,Neutral
2016-02-18,2016-03-03,15,0.2163602610752692,0.4010841774193601,-0.1099999994039535,0.2660000026226043,0.2720000147819519,0.3470000028610229,0.5669999718666077,Neutral,Neutral,Neutral,Neutral,Positive
2016-03-06,2016-03-28,23,0.1550480144460032,0.3465208903225836,-0.0089999996125698,-0.1099999994039535,0.2660000026226043,0.2720000147819519,0.2939999997615814,Neutral,Neutral,Neutral,Neutral,Neutral
2016-08-26,2016-08-30,5,0.0507263948387084,0.1037909580645148,-0.4440000057220459,-0.7580000162124634,-0.4429999887943268,-0.1129999980330467,-0.1099999994039535,Negative,Negative,Negative,Neutral,Neutral
2017-01-01,2017-01-07,7,0.146624434914126,0.206155082352943,-0.0860000029206276,-0.3100000023841858,-0.3819999992847442,-0.3720000088214874,-0.7580000162124634,Neutral,Neutral,Neutral,Neutral,Negative
2018-09-29,2018-10-07,9,0.2611873598566328,0.4352090129032291,0.6039999723434448,0.1220000013709068,0.0529999993741512,0.1550000011920929,-0.1199999973177909,Positive,Neutral,Neutral,Neutral,Neutral
2019-06-24,2019-06-29,6,0.0772094075268832,0.107251825806454,0.6050000190734863,0.5389999747276306,0.257999986410141,0.2240000069141388,0.3089999854564667,Positive,Positive,Neutral,Neutral,Neutral
2019-10-17,2019-10-31,15,0.3160635933333326,0.6210531838709628,0.9639999866485596,0.8930000066757202,0.4359999895095825,0.597000002861023,0.257999986410141,Positive,Positive,Positive,Positive,Neutral
2020-05-11,2020-05-17,7,0.2228268479262663,0.32248381935484,0.2980000078678131,-0.0109999999403953,0.0189999993890523,0.0540000014007091,0.8349999785423279,Neutral,Neutral,Neutral,Neutral,Positive
2020-06-24,2020-07-05,12,0.100374485483871,0.2049202870967761,0.4539999961853027,0.2980000078678131,-0.0109999999403953,0.0189999993890523,0.2430000007152557,Positive,Neutral,Neutral,Neutral,Neutral
2020-07-08,2020-07-13,6,0.0793521005376357,0.1496445096774188,0.3199999928474426,0.4539999961853027,0.2980000078678131,-0.0109999999403953,0.1729999929666519,Neutral,Positive,Neutral,Neutral,Neutral
2020-07-25,2020-08-13,20,0.2484124362903221,0.5033501387096777,0.3199999928474426,0.4539999961853027,0.2980000078678131,-0.0109999999403953,0.1729999929666519,Neutral,Positive,Neutral,Neutral,Neutral
2020-09-03,2020-09-23,21,0.4124759290322574,0.659075399999999,-0.1899999976158142,-0.1829999983310699,0.3199999928474426,0.4539999961853027,0.0189999993890523,Neutral,Neutral,Neutral,Positive,Neutral
2021-01-07,2021-01-29,23,0.1192075750903569,0.3130162857142835,0.0509999990463256,0.0299999993294477,0.0199999995529651,0.0740000009536743,0.3199999928474426,Neutral,Neutral,Neutral,Neutral,Neutral
2021-05-08,2021-05-23,16,0.2496937469758062,0.4772617741935505,0.0089999996125698,0.25,0.2660000026226043,0.2430000007152557,0.0199999995529651,Neutral,Neutral,Neutral,Neutral,Neutral
2021-07-15,2021-07-20,6,0.0316215397849474,0.0483912935483878,-0.2280000001192093,-0.0020000000949949,0.0089999996125698,0.25,0.0509999990463256,Neutral,Neutral,Neutral,Neutral,Neutral
2021-08-31,2021-09-05,6,0.1580478387096775,0.2706704322580684,-0.0989999994635582,-0.2280000001192093,-0.0020000000949949,0.0089999996125698,0.2430000007152557,Neutral,Neutral,Neutral,Neutral,Neutral
2021-10-06,2021-10-12,7,0.1451470981566827,0.2997949129032271,-0.090999998152256,-0.0579999983310699,-0.0989999994635582,-0.2280000001192093,0.25,Neutral,Neutral,Neutral,Neutral,Neutral
2021-11-17,2021-11-28,12,0.063558472311828,0.0938992419354818,0.0689999982714653,-0.090999998152256,-0.0579999983310699,-0.0989999994635582,0.0089999996125698,Neutral,Neutral,Neutral,Neutral,Neutral
2021-12-03,2021-12-15,13,0.1603107506203471,0.2475553838709672,-0.1199999973177909,0.0689999982714653,-0.090999998152256,-0.0579999983310699,-0.0020000000949949,Neutral,Neutral,Neutral,Neutral,Neutral
2022-01-01,2022-01-06,6,0.1029862217937527,0.2027816062499994,-0.0560000017285347,-0.1199999973177909,0.0689999982714653,-0.090999998152256,-0.2280000001192093,Neutral,Neutral,Neutral,Neutral,Neutral
2022-07-27,2022-08-08,13,0.427123138709678,0.791831138709675,-0.1949999928474426,-0.3350000083446502,-0.1220000013709068,-0.0680000036954879,-0.0560000017285347,Neutral,Neutral,Neutral,Neutral,Neutral
2022-08-29,2022-09-11,14,0.491046052534562,0.7155913999999974,-0.2460000067949295,-0.1949999928474426,-0.3350000083446502,-0.1220000013709068,-0.0829999968409538,Neutral,Neutral,Neutral,Neutral,Neutral
2023-01-01,2023-01-06,6,0.1497262217937525,0.248802606249999,0.1089999973773956,-0.0920000001788139,-0.2689999938011169,-0.6909999847412109,-0.1949999928474426,Neutral,Neutral,Neutral,Negative,Neutral
2023-04-11,2023-05-11,31,0.2531448370447453,0.4868632516129096,0.5600000023841858,0.4149999916553497,0.1570000052452087,0.1089999973773956,-0.6909999847412109,Positive,Positive,Neutral,Neutral,Negative
2023-05-28,2023-06-21,25,0.1940704358709661,0.3888792387096806,0.4429999887943268,0.5600000023841858,0.4149999916553497,0.1570000052452087,-0.2689999938011169,Positive,Positive,Positive,Neutral,Neutral
2023-06-30,2023-07-06,7,0.1878730447004609,0.3151792967741897,0.6650000214576721,0.4429999887943268,0.5600000023841858,0.4149999916553497,-0.0920000001788139,Positive,Positive,Positive,Positive,Neutral
2023-08-30,2023-09-03,5,0.0736609045161294,0.1329720354838706,0.824999988079071,0.4979999959468841,0.6650000214576721,0.4429999887943268,0.1570000052452087,Positive,Positive,Positive,Positive,Neutral
2023-10-10,2023-10-21,12,0.1652901744623654,0.2719997064516128,0.8040000200271606,0.9459999799728394,0.824999988079071,0.4979999959468841,0.5600000023841858,Positive,Positive,Positive,Positive,Positive
2023-11-03,2023-11-09,7,0.1145240580645148,0.1689794129032229,0.9200000166893004,0.8040000200271606,0.9459999799728394,0.824999988079071,0.4429999887943268,Positive,Positive,Positive,Positive,Positive
2023-12-03,2023-12-09,7,0.0939239815668204,0.1664118709677424,0.8510000109672546,0.9200000166893004,0.8040000200271606,0.9459999799728394,0.6650000214576721,Positive,Positive,Positive,Positive,Positive
2024-04-07,2024-05-25,49,0.3037085087557604,0.9121927741935528,0.4399999976158142,0.4210000038146972,0.328000009059906,0.7649999856948853,0.8040000200271606,Positive,Positive,Neutral,Positive,Positive
2024-05-30,2024-06-06,8,0.1223167721774203,0.2883897354838716,0.296999990940094,0.4399999976158142,0.4210000038146972,0.328000009059906,0.9200000166893004,Neutral,Positive,Positive,Neutral,Positive
2024-10-07,2024-10-22,16,0.3530566467741929,0.584013141935479,-0.1959999948740005,0.1150000020861625,0.2669999897480011,0.032999999821186,0.4399999976158142,Neutral,Neutral,Neutral,Neutral,Positive
2024-10-30,2024-11-08,10,0.0674375983870962,0.1230774129032248,-0.1959999948740005,0.1150000020861625,0.2669999897480011,0.032999999821186,0.4399999976158142,Neutral,Neutral,Neutral,Neutral,Positive
2024-11-10,2024-11-17,8,0.1177348536290323,0.2125665677419377,-0.382999986410141,-0.1959999948740005,0.1150000020861625,0.2669999897480011,0.296999990940094,Neutral,Neutral,Neutral,Neutral,Neutral
2024-11-30,2024-12-12,13,0.1210076367245655,0.2257198612903259,-0.382999986410141,-0.1959999948740005,0.1150000020861625,0.2669999897480011,0.296999990940094,Neutral,Neutral,Neutral,Neutral,Neutral
2025-01-01,2025-01-19,19,0.1455950015162347,0.4393796062500001,-0.1959999948740005,-0.3310000002384186,-0.382999986410141,-0.1959999948740005,0.032999999821186,Neutral,Neutral,Neutral,Neutral,Neutral
2025-01-22,2025-03-23,61,0.2272734505023797,0.4836931387096754,-0.1959999948740005,-0.3310000002384186,-0.382999986410141,-0.1959999948740005,0.032999999821186,Neutral,Neutral,Neutral,Neutral,Neutral
2025-03-29,2025-04-07,10,0.1218551390322591,0.1990950612903184,0.0590000003576278,0.0170000009238719,-0.1959999948740005,-0.3310000002384186,0.1150000020861625,Neutral,Neutral,Neutral,Neutral,Neutral
