Event_ID,Start_Date,ONI_0m,ONI_1m,ONI_2m,ONI_3m,ONI_6m,ENSO_Phase,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_6m,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_6m
C01,2010-03-18,0.84,1.22,1.5,1.56,0.71,El Nino,0.458,0.023,0.294,0.16,-0.103,Positive,Neutral,Neutral,1.33,1.28,0.93,0.95,0.42,El Nino,Neutral
C02,2010-04-23,0.35,0.84,1.22,1.5,1.01,Neutral,0.37,0.458,0.023,0.294,-0.013,Neutral,Positive,Neutral,0.49,1.33,1.28,0.93,0.56,Neutral,El Nino
C03,2010-05-07,-0.17,0.35,0.84,1.22,1.36,Neutral,-0.03,0.37,0.458,0.023,-0.067,Neutral,Neutral,Neutral,-0.12,0.49,1.33,1.28,1.04,Neutral,El Nino
C04,2010-09-27,-1.56,-1.35,-1.05,-0.66,0.84,La Nina,-0.268,-0.062,-0.001,-0.14,0.458,Neutral,Neutral,Positive,-2.26,-2.38,-2.42,-1.29,1.33,La Nina,El Nino
C05,2015-11-21,2.64,2.47,2.21,1.91,1.02,El Nino,0.347,0.483,0.294,0.567,0.24,Neutral,Positive,Neutral,1.93,2.15,2.24,1.95,0.95,El Nino,El Nino
C06,2016-01-01,2.63,2.75,2.64,2.47,1.57,El Nino,0.266,0.272,0.347,0.483,0.225,Neutral,Neutral,Neutral,1.93,1.93,1.93,2.15,1.79,El Nino,El Nino
C07,2016-05-05,0.49,1.05,1.71,2.28,2.64,Neutral,-0.113,0.146,-0.009,-0.11,0.347,Neutral,Neutral,Neutral,1.24,1.32,1.32,1.8,1.93,El Nino,El Nino
C08,2016-08-22,-0.5,-0.31,0.0,0.49,2.28,La Nina,-0.444,-0.758,-0.443,-0.113,-0.11,Negative,Negative,Neutral,-0.26,-0.54,0.35,1.24,1.8,Neutral,El Nino
C09,2017-09-10,-0.34,-0.07,0.19,0.39,0.18,Neutral,0.034,0.349,0.52,0.424,0.357,Neutral,Neutral,Neutral,-0.73,-0.72,-0.63,-0.23,-0.58,La Nina,La Nina
C10,2019-10-01,0.39,0.23,0.19,0.33,0.77,Neutral,0.964,0.893,0.436,0.597,0.258,Positive,Positive,Neutral,0.31,0.16,0.32,0.3,0.3,Neutral,Neutral
