Event_ID,Start_Date,Wind_30d_Before_ms,Wind_21d_Before_ms,Wind_14d_Before_ms,Wind_7d_Before_ms,Wind_During_ms,Wind_Change_30d_ms,Wind_Change_21d_ms,Wind_Change_14d_ms,Wind_Change_7d_ms,Wind_Climatology_ms,Wind_Anomaly_ms,Wind_Classification,Weak_Wind_Event
C01,2010-03-18,3.5999,3.4849,3.4743,3.792,3.1008,-0.4991,-0.3842,-0.3735,-0.6912,3.1528,-0.052,Weak,True
C02,2010-04-23,3.1248,3.1639,3.2518,3.0066,2.6325,-0.4923,-0.5314,-0.6193,-0.3741,3.3425,-0.71,Weak,True
C03,2010-05-07,2.9871,2.7914,2.6838,2.6389,3.2653,0.2783,0.4739,0.5816,0.6265,4.5126,-1.2473,Weak,True
C04,2010-09-27,5.0369,4.2961,3.8589,2.5088,2.1852,-2.8517,-2.1109,-1.6737,-0.3236,5.1735,-2.9883,Weak,True
C05,2015-11-21,4.0964,4.1133,4.3171,4.2294,5.2534,1.157,1.1402,0.9363,1.024,4.8744,0.379,Strong,False
C06,2016-01-01,5.1258,5.0712,5.6705,6.283,5.7743,0.6485,0.7031,0.1038,-0.5087,5.4901,0.2842,Strong,False
C07,2016-05-05,3.3548,3.4076,3.4303,3.0183,3.991,0.6361,0.5834,0.5606,0.9726,4.6547,-0.6638,Weak,True
C08,2016-08-22,6.8146,7.1554,6.9055,7.0136,5.3733,-1.4413,-1.7821,-1.5322,-1.6403,6.225,-0.8517,Weak,True
C09,2017-09-10,5.4878,5.1597,4.4499,3.5595,4.0614,-1.4264,-1.0983,-0.3885,0.5019,5.9834,-1.922,Weak,True
C10,2019-10-01,5.738,4.8526,4.1996,3.6026,3.0225,-2.7155,-1.8301,-1.177,-0.58,4.1987,-1.1762,Weak,True
C11,2020-05-06,2.9799,2.9573,2.9234,2.4302,2.6305,-0.3495,-0.3269,-0.293,0.2003,4.2893,-1.6588,Weak,True
C12,2020-06-23,5.6323,6.1691,6.2273,5.7035,4.8799,-0.7524,-1.2892,-1.3474,-0.8236,6.8032,-1.9233,Weak,True
C13,2020-07-18,5.3405,5.6284,5.3604,5.3535,4.9553,-0.3851,-0.6731,-0.4051,-0.3981,6.9471,-1.9917,Weak,True
C14,2020-08-27,6.6905,6.0515,5.7153,4.9348,4.7463,-1.9442,-1.3052,-0.969,-0.1885,6.1869,-1.4407,Weak,True
C15,2021-01-07,5.5241,5.8455,5.7547,5.9089,5.9334,0.4093,0.0879,0.1787,0.0245,5.3787,0.5547,Strong,False
C16,2021-05-14,2.7644,2.7186,2.8963,2.8287,3.6369,0.8726,0.9183,0.7406,0.8082,5.2439,-1.607,Weak,True
C17,2021-06-02,4.6433,5.3634,6.3989,4.9806,4.1556,-0.4877,-1.2078,-2.2433,-0.825,6.051,-1.8954,Weak,True
C18,2021-07-04,6.4992,6.3645,5.8375,5.2358,4.758,-1.7412,-1.6065,-1.0794,-0.4778,6.5985,-1.8405,Weak,True
C19,2022-01-22,5.1177,4.9366,4.5306,4.4754,3.5525,-1.5652,-1.3841,-0.978,-0.9228,5.1693,-1.6168,Weak,True
C20,2022-03-27,4.1956,3.4712,3.1575,3.2478,2.9774,-1.2182,-0.4938,-0.1801,-0.2704,3.0582,-0.0807,Weak,True
C21,2022-04-22,3.0338,3.1046,3.1533,3.0019,2.6712,-0.3626,-0.4334,-0.4821,-0.3307,3.3749,-0.7037,Weak,True
C22,2022-06-29,5.6793,5.2288,4.9669,5.0379,6.1488,0.4695,0.92,1.1819,1.111,6.8083,-0.6595,Weak,True
C23,2022-07-25,6.3094,6.6472,6.3622,4.7249,3.4737,-2.8356,-3.1735,-2.8885,-1.2512,6.9399,-3.4662,Weak,True
C24,2022-08-28,6.2712,6.3167,5.6174,5.0667,3.5226,-2.7486,-2.794,-2.0947,-1.544,6.1461,-2.6234,Weak,True
C25,2023-05-04,3.0358,2.9974,2.9925,2.6191,2.7138,-0.322,-0.2835,-0.2787,0.0948,3.9027,-1.1889,Weak,True
C26,2023-05-31,4.9317,5.8047,4.853,4.8604,6.4123,1.4806,0.6076,1.5593,1.5519,5.7346,0.6777,Strong,False
C27,2023-11-04,3.475,3.3155,3.2989,3.3719,4.3358,0.8608,1.0204,1.037,0.9639,4.6556,-0.3198,Weak,True
C28,2023-12-07,4.8062,5.1837,5.5548,5.3537,5.0807,0.2744,-0.103,-0.4741,-0.273,5.5906,-0.5099,Weak,True
C29,2024-01-01,5.5603,6.1091,6.4172,6.6903,5.5942,0.0339,-0.5149,-0.823,-1.0962,5.4446,0.1496,Strong,False
C30,2024-01-24,5.6879,5.3644,5.2432,5.1816,5.1719,-0.516,-0.1925,-0.0713,-0.0097,4.948,0.2239,Strong,False
C31,2024-04-11,3.562,3.5582,3.1044,3.2577,3.3672,-0.1948,-0.1911,0.2628,0.1095,4.0955,-0.7284,Weak,True
C32,2024-07-08,6.9644,6.7461,6.4654,5.9107,5.6306,-1.3338,-1.1155,-0.8348,-0.2801,6.8544,-1.2238,Weak,True
C33,2024-08-09,7.2015,6.8825,6.1555,5.1509,5.3341,-1.8674,-1.5484,-0.8214,0.1832,6.2662,-0.9321,Weak,True
C34,2024-09-27,7.0698,6.9061,6.4651,6.1977,3.5364,-3.5335,-3.3698,-2.9287,-2.6613,5.1888,-1.6525,Weak,True
C35,2024-10-05,6.2199,5.5993,5.0375,4.4168,3.3245,-2.8954,-2.2748,-1.713,-1.0923,4.0773,-0.7528,Weak,True
C36,2024-10-28,4.0534,4.0717,4.7141,5.3559,4.9631,0.9098,0.8915,0.2491,-0.3927,4.936,0.0271,Strong,False
C37,2025-01-01,5.4349,5.8539,5.6551,6.0682,5.671,0.2361,-0.1829,0.0159,-0.3972,5.4297,0.2413,Strong,False
C38,2025-02-20,4.4519,4.1957,4.101,3.4704,4.1784,-0.2735,-0.0173,0.0774,0.7081,3.9274,0.2511,Strong,False
C39,2025-07-12,7.132,6.9125,6.7633,6.4351,5.6984,-1.4336,-1.2141,-1.0648,-0.7367,6.9608,-1.2624,Weak,True
