Event_ID,Start_Date,SLHF_Climatology_Wm2,SLHF_During_Wm2,SLHF_Anomaly_Wm2,SSHF_Climatology_Wm2,SSHF_During_Wm2,SSHF_Anomaly_Wm2,Reduced_Latent_Heat_Loss,Reduced_Sensible_Heat_Loss
C01,2010-03-18,-385976.97,-333670.97,52306.0,-29881.705,-25998.055,3883.6504,True,True
C02,2010-04-23,-388809.84,-414272.44,-25462.594,-33946.47,-42894.19,-8947.723,False,False
C03,2010-05-07,-482452.97,-411351.34,71101.625,-37386.82,-37725.605,-338.7852,True,False
C04,2010-09-27,-466205.1,-310833.28,155371.81,-38608.69,-37779.668,829.0234,True,True
C05,2015-11-21,-466631.03,-509699.47,-43068.438,-41265.39,-34274.953,6990.4375,False,True
C06,2016-01-01,-561030.75,-697791.06,-136760.31,-38235.285,-43486.492,-5251.207,False,False
C07,2016-05-05,-482452.97,-528606.0,-46153.03,-37386.82,-50650.652,-13263.832,False,False
C08,2016-08-22,-500356.0,-416985.75,83370.25,-34290.63,-36272.63,-1982.0,True,False
C09,2017-09-10,-466205.1,-584736.3,-118531.22,-38608.69,-60776.477,-22167.785,False,False
C10,2019-10-01,-415979.62,-379732.47,36247.156,-39772.184,-41585.57,-1813.3867,True,False
C11,2020-05-06,-482452.97,-353784.38,128668.59,-37386.82,-26516.3,10870.52,True,True
C12,2020-06-23,-537206.7,-544398.2,-7191.5,-34511.586,-48840.1,-14328.516,False,False
C13,2020-07-18,-523388.0,-573633.0,-50245.0,-31378.242,-50576.656,-19198.414,False,False
C14,2020-08-27,-500356.0,-422663.0,77693.0,-34290.63,-39174.22,-4883.59,True,False
C15,2021-01-07,-561030.75,-480794.4,80236.34,-38235.285,-30094.447,8140.838,True,True
C16,2021-05-14,-482452.97,-484125.8,-1672.8438,-37386.82,-29216.797,8170.0234,False,True
C17,2021-06-02,-537206.7,-688979.4,-151772.69,-34511.586,-68111.36,-33599.773,False,False
C18,2021-07-04,-523388.0,-559530.25,-36142.25,-31378.242,-43304.785,-11926.543,False,False
C19,2022-01-22,-561030.75,-444646.06,116384.69,-38235.285,-44024.305,-5789.0195,True,False
C20,2022-03-27,-385976.97,-342510.7,43466.28,-29881.705,-25748.205,4133.5,True,True
C21,2022-04-22,-388809.84,-389438.78,-628.9375,-33946.47,-34107.484,-161.0156,False,False
C22,2022-06-29,-537206.7,-469756.3,67450.375,-34511.586,-30035.746,4475.84,True,True
C23,2022-07-25,-523388.0,-394884.06,128503.94,-31378.242,-41798.45,-10420.207,True,False
C24,2022-08-28,-500356.0,-353631.56,146724.44,-34290.63,-33722.74,567.8906,True,True
C25,2023-05-04,-482452.97,-399478.38,82974.59,-37386.82,-38578.723,-1191.9023,True,False
C26,2023-05-31,-482452.97,-536948.9,-54495.906,-37386.82,-35927.457,1459.3633,False,True
C27,2023-11-04,-466631.03,-431627.75,35003.28,-41265.39,-40204.453,1060.9375,True,True
C28,2023-12-07,-570255.1,-435073.16,135181.97,-41311.406,-32695.385,8616.021,True,True
C29,2024-01-01,-561030.75,-579974.1,-18943.375,-38235.285,-37086.64,1148.6445,False,True
C30,2024-01-24,-561030.75,-444167.8,116862.94,-38235.285,-28683.76,9551.525,True,True
C31,2024-04-11,-388809.84,-427820.4,-39010.562,-33946.47,-39140.625,-5194.1562,False,False
C32,2024-07-08,-523388.0,-449271.9,74116.09,-31378.242,-37531.113,-6152.871,True,False
C33,2024-08-09,-500356.0,-535751.6,-35395.625,-34290.63,-30016.791,4273.838,False,True
C34,2024-09-27,-466205.1,-377921.3,88283.78,-38608.69,-29467.46,9141.23,True,True
C35,2024-10-05,-415979.62,-439686.5,-23706.875,-39772.184,-42756.75,-2984.5664,False,False
C36,2024-10-28,-415979.62,-497459.34,-81479.72,-39772.184,-42503.63,-2731.4453,False,False
C37,2025-01-01,-561030.75,-690906.7,-129875.94,-38235.285,-48501.61,-10266.324,False,False
C38,2025-02-20,-480916.66,-403039.16,77877.5,-33119.156,-28228.338,4890.8184,True,True
C39,2025-07-12,-523388.0,-441757.88,81630.125,-31378.242,-31705.953,-327.7109,True,False
C40,2025-08-01,-500356.0,-365545.56,134810.44,-34290.63,-32259.547,2031.082,True,True
