Region,Event_ID,Year,Season,Start_Date,End_Date,Duration_Days,Mean_SST_C,Max_SST_C,Min_SST_C,SST_Range_C,Mean_Threshold_C,Mean_SST_Above_Threshold_C,Mean_Intensity_C,Max_Intensity_C,Weak_Wind_Event
North,N01,2006,Pre-Monsoon,2006-03-06,2006-03-11,6,27.8354,27.9896,27.6539,0.3357,27.7654,0.07,0.07,0.1419,True
North,N02,2008,Post-Monsoon,2008-10-13,2008-10-18,6,29.9361,29.9529,29.9215,0.0314,29.9118,0.0242,0.0242,0.056,True
North,N03,2009,Post-Monsoon,2009-11-14,2009-11-20,7,29.0537,29.1297,28.892,0.2377,28.9674,0.0864,0.0864,0.1619,True
North,N04,2010,Pre-Monsoon,2010-03-16,2010-03-22,7,28.3609,28.501,28.1648,0.3363,28.3066,0.0543,0.0543,0.1173,True
North,N05,2014,SW Monsoon,2014-06-11,2014-06-19,9,30.5661,30.743,30.2577,0.4853,30.295,0.2711,0.2711,0.4585,True
North,N06,2016,Winter,2016-02-18,2016-03-03,15,27.3252,27.557,26.8035,0.7536,27.1088,0.2164,0.2164,0.4011,True
North,N07,2016,Pre-Monsoon,2016-03-06,2016-03-28,23,28.4075,28.9888,27.7044,1.2844,28.2525,0.155,0.155,0.3465,False
North,N08,2016,SW Monsoon,2016-08-26,2016-08-30,5,29.6572,29.7129,29.6074,0.1055,29.6065,0.0507,0.0507,0.1038,True
North,N09,2017,Winter,2017-01-01,2017-01-07,7,26.6326,26.7184,26.496,0.2225,26.486,0.1466,0.1466,0.2062,False
North,N10,2018,SW Monsoon,2018-09-29,2018-10-07,9,30.1575,30.3525,29.9059,0.4465,29.8964,0.2612,0.2612,0.4352,True
North,N11,2019,SW Monsoon,2019-06-24,2019-06-29,6,30.1321,30.1948,30.0281,0.1667,30.0549,0.0772,0.0772,0.1073,True
North,N12,2019,Post-Monsoon,2019-10-17,2019-10-31,15,30.1015,30.4622,29.652,0.8102,29.7854,0.3161,0.3161,0.6211,True
North,N13,2020,Pre-Monsoon,2020-05-11,2020-05-17,7,31.0093,31.1195,30.8417,0.2778,30.7865,0.2228,0.2228,0.3225,True
North,N14,2020,SW Monsoon,2020-06-24,2020-07-05,12,30.0749,30.1744,29.8863,0.2881,29.9745,0.1004,0.1004,0.2049,True
North,N15,2020,SW Monsoon,2020-07-08,2020-07-13,6,29.8906,29.9407,29.8452,0.0955,29.8112,0.0794,0.0794,0.1496,True
North,N16,2020,SW Monsoon,2020-07-25,2020-08-13,20,29.9177,30.1966,29.6359,0.5607,29.6693,0.2484,0.2484,0.5034,True
North,N17,2020,SW Monsoon,2020-09-03,2020-09-23,21,30.1402,30.3471,29.8088,0.5383,29.7277,0.4125,0.4125,0.6591,True
North,N18,2021,Winter,2021-01-07,2021-01-29,23,26.4558,26.7132,26.2387,0.4744,26.3366,0.1192,0.1192,0.313,True
North,N19,2021,Pre-Monsoon,2021-05-08,2021-05-23,16,31.0159,31.2479,30.7491,0.4988,30.7662,0.2497,0.2497,0.4773,True
North,N20,2021,SW Monsoon,2021-07-15,2021-07-20,6,29.786,29.8118,29.7585,0.0532,29.7543,0.0316,0.0316,0.0484,True
