Event_ID,Start_Date,ONI_0m,ONI_1m,ONI_2m,ONI_3m,ONI_6m,ENSO_Phase,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_6m,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_6m
N01,2006-03-06,-0.57,-0.77,-0.85,-0.84,-0.11,La Nina,-0.226,-0.305,-0.135,,,Neutral,Neutral,Unknown,-0.62,-0.49,-0.64,,,La Nina,Unknown
N02,2008-10-13,-0.35,-0.24,-0.23,-0.37,-1.01,Neutral,0.029,0.086,0.124,0.246,-0.153,Neutral,Neutral,Neutral,-1.09,-1.02,-1.01,-0.78,-1.1,La Nina,La Nina
N03,2009-11-14,1.36,1.01,0.71,0.58,0.01,El Nino,-0.067,-0.013,-0.103,-0.104,0.256,Neutral,Neutral,Neutral,1.04,0.56,0.42,0.56,-0.72,El Nino,La Nina
N04,2010-03-16,0.84,1.22,1.5,1.56,0.71,El Nino,0.458,0.023,0.294,0.16,-0.103,Positive,Neutral,Neutral,1.33,1.28,0.93,0.95,0.42,El Nino,Neutral
N05,2014-06-11,0.23,0.31,0.15,-0.14,-0.15,Neutral,-0.028,-0.092,-0.058,-0.151,0.141,Neutral,Neutral,Neutral,0.0,-0.17,-0.17,-0.05,-0.33,Neutral,Neutral
N06,2016-02-18,2.28,2.63,2.75,2.64,1.91,El Nino,-0.11,0.266,0.272,0.347,0.567,Neutral,Neutral,Positive,1.8,1.93,1.93,1.93,1.95,El Nino,El Nino
N07,2016-03-06,1.71,2.28,2.63,2.75,2.21,El Nino,-0.009,-0.11,0.266,0.272,0.294,Neutral,Neutral,Neutral,1.32,1.8,1.93,1.93,2.24,El Nino,El Nino
N08,2016-08-26,-0.5,-0.31,0.0,0.49,2.28,La Nina,-0.444,-0.758,-0.443,-0.113,-0.11,Negative,Negative,Neutral,-0.26,-0.54,0.35,1.24,1.8,Neutral,El Nino
N09,2017-01-01,-0.19,-0.45,-0.6,-0.64,-0.31,Neutral,-0.086,-0.31,-0.382,-0.372,-0.758,Neutral,Neutral,Negative,-0.42,-0.37,-0.47,-0.53,-0.54,Neutral,La Nina
N10,2018-09-29,0.53,0.27,0.14,0.06,-0.57,El Nino,0.604,0.122,0.053,0.155,-0.12,Positive,Neutral,Neutral,0.62,0.47,-0.05,-0.51,-0.8,El Nino,La Nina
N11,2019-06-24,0.52,0.64,0.77,0.84,0.92,El Nino,0.605,0.539,0.258,0.224,0.309,Positive,Positive,Neutral,0.35,0.23,0.3,0.76,0.18,Neutral,Neutral
N12,2019-10-17,0.39,0.23,0.19,0.33,0.77,Neutral,0.964,0.893,0.436,0.597,0.258,Positive,Positive,Neutral,0.31,0.16,0.32,0.3,0.3,Neutral,Neutral
N13,2020-05-11,0.01,0.3,0.53,0.63,0.58,Neutral,0.298,-0.011,0.019,0.054,0.835,Neutral,Neutral,Positive,-0.23,-0.15,0.13,0.26,0.47,Neutral,Neutral
N14,2020-06-24,-0.23,0.01,0.3,0.53,0.66,Neutral,0.454,0.298,-0.011,0.019,0.243,Positive,Neutral,Neutral,-0.68,-0.23,-0.15,0.13,0.36,La Nina,Neutral
N15,2020-07-08,-0.36,-0.23,0.01,0.3,0.64,Neutral,0.32,0.454,0.298,-0.011,0.173,Neutral,Positive,Neutral,-0.94,-0.68,-0.23,-0.15,0.24,La Nina,Neutral
