Event_ID,Start_Date,SLHF_Climatology_Wm2,SLHF_During_Wm2,SLHF_Anomaly_Wm2,SSHF_Climatology_Wm2,SSHF_During_Wm2,SSHF_Anomaly_Wm2,Reduced_Latent_Heat_Loss,Reduced_Sensible_Heat_Loss
N01,2006-03-06,-269298.38,-268873.06,425.3125,-155890.48,-157532.97,-1642.4844,True,False
N02,2008-10-13,-367538.56,-384420.28,-16881.719,-56753.637,-67343.37,-10589.73,False,False
N03,2009-11-14,-352312.62,-276458.34,75854.28,-68642.5,-74311.55,-5669.047,True,False
N04,2010-03-16,-269298.38,-289165.9,-19867.531,-155890.48,-167608.64,-11718.156,False,False
N05,2014-06-11,-378367.0,-334150.2,44216.812,-79566.28,-87088.02,-7521.742,True,False
N06,2016-02-18,-279213.22,-251446.75,27766.469,-120060.84,-129738.48,-9677.633,True,False
N07,2016-03-06,-269298.38,-271059.16,-1760.7812,-155890.48,-164194.58,-8304.094,False,False
N08,2016-08-26,-363422.8,-386832.88,-23410.062,-44727.9,-65785.24,-21057.344,False,False
N09,2017-01-01,-318099.56,-296671.12,21428.438,-97663.16,-83452.41,14210.75,True,True
N10,2018-09-29,-368874.97,-355655.7,13219.281,-50193.12,-54957.367,-4764.246,True,False
N11,2019-06-24,-378367.0,-431175.9,-52808.906,-79566.28,-78009.34,1556.9375,False,True
N12,2019-10-17,-367538.56,-348989.3,18549.25,-56753.637,-65500.04,-8746.402,True,False
N13,2020-05-11,-341668.0,-355223.28,-13555.281,-140003.42,-165094.58,-25091.156,False,False
N14,2020-06-24,-378367.0,-393291.75,-14924.75,-79566.28,-74935.125,4631.1562,False,True
N15,2020-07-08,-380047.16,-383819.6,-3772.4375,-45231.875,-58379.348,-13147.473,False,False
N16,2020-07-25,-380047.16,-381078.1,-1030.9375,-45231.875,-60636.75,-15404.875,False,False
N17,2020-09-03,-368874.97,-404071.34,-35196.375,-50193.12,-50638.406,-445.2852,False,False
N18,2021-01-07,-318099.56,-279054.2,39045.375,-97663.16,-101483.28,-3820.125,True,False
N19,2021-05-08,-341668.0,-363233.66,-21565.656,-140003.42,-161934.56,-21931.14,False,False
N20,2021-07-15,-380047.16,-409414.38,-29367.219,-45231.875,-73909.5,-28677.625,False,False
N21,2021-08-31,-363422.8,-352949.53,10473.281,-44727.9,-65673.25,-20945.352,True,False
N22,2021-10-06,-367538.56,-366375.94,1162.625,-56753.637,-62285.77,-5532.133,True,False
N23,2021-11-17,-352312.62,-311796.1,40516.53,-68642.5,-61879.117,6763.383,True,True
N24,2021-12-03,-335458.38,-356430.8,-20972.438,-82355.3,-79929.75,2425.5469,False,True
N25,2022-01-01,-318099.56,-399283.3,-81183.75,-97663.16,-95623.36,2039.7969,False,True
N26,2022-07-27,-380047.16,-413433.12,-33385.97,-45231.875,-67675.03,-22443.156,False,False
N27,2022-08-29,-363422.8,-407343.34,-43920.53,-44727.9,-69480.99,-24753.094,False,False
N28,2023-01-01,-318099.56,-325427.75,-7328.1875,-97663.16,-86329.65,11333.508,False,True
N29,2023-04-11,-300678.28,-298477.34,2200.9375,-171484.9,-167420.16,4064.75,True,True
N30,2023-05-28,-341668.0,-344513.03,-2845.0312,-140003.42,-114528.91,25474.516,False,True
N31,2023-06-30,-378367.0,-367319.16,11047.844,-79566.28,-75801.055,3765.2266,True,True
N32,2023-08-30,-363422.8,-371404.9,-7982.0938,-44727.9,-62939.395,-18211.496,False,False
N33,2023-10-10,-367538.56,-371797.06,-4258.5,-56753.637,-51948.535,4805.1016,False,True
N34,2023-11-03,-352312.62,-378880.38,-26567.75,-68642.5,-63414.73,5227.7695,False,True
N35,2023-12-03,-335458.38,-231637.36,103821.016,-82355.3,-44103.348,38251.95,True,True
N36,2024-04-07,-300678.28,-312768.88,-12090.594,-171484.9,-161331.17,10153.734,False,True
N37,2024-05-30,-341668.0,-343545.06,-1877.0625,-140003.42,-93294.945,46708.477,False,True
N38,2024-10-07,-367538.56,-405940.0,-38401.438,-56753.637,-59617.37,-2863.7344,False,False
N39,2024-10-30,-367538.56,-377471.9,-9933.344,-56753.637,-59248.58,-2494.9414,False,False
N40,2024-11-10,-352312.62,-412863.16,-60550.53,-68642.5,-71014.984,-2372.4844,False,False
N41,2024-11-30,-352312.62,-300720.88,51591.75,-68642.5,-66267.65,2374.8516,True,True
N42,2025-01-01,-318099.56,-374223.16,-56123.594,-97663.16,-103937.195,-6274.039,False,False
N43,2025-01-22,-318099.56,-271360.72,46738.844,-97663.16,-130841.25,-33178.094,True,False
N44,2025-03-29,-269298.38,-279624.2,-10325.8125,-155890.48,-187694.4,-31803.922,False,False
N45,2025-05-12,-341668.0,-348775.4,-7107.4062,-140003.42,-116099.99,23903.43,False,True
N46,2025-07-19,-380047.16,-425160.8,-45113.656,-45231.875,-54248.92,-9017.047,False,False
N47,2025-08-03,-363422.8,-383099.12,-19676.312,-44727.9,-52835.984,-8108.086,False,False
N48,2025-09-17,,,,,,,False,False
N49,2025-10-19,-367538.56,-362516.12,5022.4375,-56753.637,-50192.344,6561.293,True,True
