Region,Event_ID,Year,Season,Start_Date,End_Date,Duration_Days,Mean_SST_C,Max_SST_C,Min_SST_C,SST_Range_C,Mean_Threshold_C,Mean_SST_Above_Threshold_C,Mean_Intensity_C,Max_Intensity_C,Weak_Wind_Event
South,S01,2010,Pre-Monsoon,2010-03-04,2010-03-10,7,29.4615,29.533,29.3751,0.1579,29.3889,0.0726,0.0726,0.1526,True
South,S02,2010,Pre-Monsoon,2010-03-28,2010-04-03,7,30.2608,30.4039,30.0582,0.3457,30.1745,0.0863,0.0863,0.1486,False
South,S03,2010,Pre-Monsoon,2010-04-10,2010-04-20,11,30.8438,31.036,30.6703,0.3656,30.7501,0.0938,0.0938,0.1604,True
South,S04,2010,Pre-Monsoon,2010-04-22,2010-04-26,5,31.0834,31.1269,30.9696,0.1573,31.0001,0.0834,0.0834,0.1144,True
South,S05,2010,Pre-Monsoon,2010-05-11,2010-05-16,6,31.0992,31.2372,30.9175,0.3197,30.9533,0.1459,0.1459,0.2916,False
South,S06,2015,SW Monsoon,2015-06-10,2015-06-14,5,29.9243,29.9818,29.8651,0.1167,29.8869,0.0374,0.0374,0.0733,True
South,S07,2015,SW Monsoon,2015-09-05,2015-09-13,9,29.3164,29.4538,29.225,0.2288,29.2435,0.073,0.073,0.1962,True
South,S08,2015,Post-Monsoon,2015-10-11,2015-11-02,23,29.5444,29.7347,29.3476,0.3871,29.3861,0.1582,0.1582,0.3434,True
South,S09,2015,Winter,2015-12-08,2016-01-15,39,29.1157,29.3218,28.9442,0.3776,29.0176,0.0981,0.0981,0.2308,True
South,S10,2016,Winter,2016-01-19,2016-02-02,15,29.028,29.129,28.9087,0.2203,28.8925,0.1355,0.1355,0.243,True
South,S11,2016,Pre-Monsoon,2016-04-21,2016-05-22,32,31.2236,31.5408,30.6317,0.9091,30.9762,0.2474,0.2474,0.441,True
South,S12,2017,Post-Monsoon,2017-11-16,2017-11-20,5,29.3832,29.4234,29.3449,0.0785,29.3445,0.0386,0.0386,0.0686,True
South,S13,2019,Pre-Monsoon,2019-03-04,2019-03-08,5,29.578,29.6887,29.4503,0.2384,29.3649,0.2131,0.2131,0.3009,True
South,S14,2019,Pre-Monsoon,2019-04-17,2019-04-23,7,31.0013,31.1093,30.8712,0.2382,30.8994,0.1019,0.1019,0.2073,False
South,S15,2019,SW Monsoon,2019-07-07,2019-07-20,14,29.6898,29.8324,29.5138,0.3186,29.5374,0.1525,0.1525,0.2828,True
South,S16,2019,Post-Monsoon,2019-10-04,2019-10-19,16,29.5188,29.7122,29.3578,0.3544,29.3403,0.1786,0.1786,0.3615,True
South,S17,2020,SW Monsoon,2020-07-18,2020-07-29,12,29.6359,29.8047,29.3642,0.4406,29.4239,0.212,0.212,0.3314,True
South,S18,2020,SW Monsoon,2020-08-17,2020-09-17,32,29.5503,29.8639,29.2229,0.641,29.2488,0.3015,0.3015,0.5959,True
South,S19,2021,Pre-Monsoon,2021-05-11,2021-05-19,9,31.0619,31.3272,30.7978,0.5294,30.9058,0.1562,0.1562,0.4483,True
South,S20,2023,SW Monsoon,2023-08-23,2023-08-31,9,29.3393,29.4568,29.2752,0.1817,29.2679,0.0713,0.0713,0.1879,True
South,S21,2023,Post-Monsoon,2023-11-03,2023-11-26,24,29.5386,29.756,29.2845,0.4715,29.3575,0.181,0.181,0.3584,True
South,S22,2024,Winter,2024-01-25,2024-03-08,44,29.2361,29.5486,28.903,0.6456,29.0733,0.1628,0.1628,0.3416,False
South,S23,2024,Pre-Monsoon,2024-03-28,2024-04-11,15,30.6223,30.953,30.1002,0.8528,30.3794,0.2429,0.2429,0.4831,True
South,S24,2024,Pre-Monsoon,2024-04-14,2024-05-24,41,31.4731,31.9752,30.5989,1.3763,30.9335,0.5396,0.5396,0.9429,True
South,S25,2024,SW Monsoon,2024-06-14,2024-09-02,81,29.5896,29.8775,29.3289,0.5486,29.444,0.1455,0.1455,0.4631,True
South,S26,2024,SW Monsoon,2024-09-26,2024-10-12,17,29.4288,29.596,29.2518,0.3442,29.2917,0.1372,0.1372,0.2685,True
South,S27,2024,Post-Monsoon,2024-10-29,2025-01-16,79,29.3753,29.9546,28.9338,1.0208,29.1646,0.2125,0.2125,0.62,False
South,S28,2025,Post-Monsoon,2025-10-13,2025-10-18,6,29.4581,29.5235,29.3802,0.1433,29.37,0.0881,0.0881,0.1542,True
