Event_ID,Start_Date,ONI_0m,ONI_1m,ONI_2m,ONI_3m,ONI_6m,ENSO_Phase,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_6m,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_6m
S01,2010-03-04,0.84,1.22,1.5,1.56,0.71,El Nino,0.458,0.023,0.294,0.16,-0.103,Positive,Neutral,Neutral,1.33,1.28,0.93,0.95,0.42,El Nino,Neutral
S02,2010-03-28,0.84,1.22,1.5,1.56,0.71,El Nino,0.458,0.023,0.294,0.16,-0.103,Positive,Neutral,Neutral,1.33,1.28,0.93,0.95,0.42,El Nino,Neutral
S03,2010-04-10,0.35,0.84,1.22,1.5,1.01,Neutral,0.37,0.458,0.023,0.294,-0.013,Neutral,Positive,Neutral,0.49,1.33,1.28,0.93,0.56,Neutral,El Nino
S04,2010-04-22,0.35,0.84,1.22,1.5,1.01,Neutral,0.37,0.458,0.023,0.294,-0.013,Neutral,Positive,Neutral,0.49,1.33,1.28,0.93,0.56,Neutral,El Nino
S05,2010-05-11,-0.17,0.35,0.84,1.22,1.36,Neutral,-0.03,0.37,0.458,0.023,-0.067,Neutral,Neutral,Neutral,-0.12,0.49,1.33,1.28,1.04,Neutral,El Nino
S06,2015-06-10,1.25,1.02,0.81,0.65,0.77,El Nino,0.296,0.24,-0.008,-0.241,0.046,Neutral,Neutral,Neutral,1.9,0.95,0.31,0.15,0.35,El Nino,Neutral
S07,2015-09-05,2.21,1.91,1.57,1.25,0.65,El Nino,0.294,0.567,0.225,0.296,-0.241,Neutral,Positive,Neutral,2.24,1.95,1.79,1.9,0.15,El Nino,Neutral
S08,2015-10-11,2.47,2.21,1.91,1.57,0.81,El Nino,0.483,0.294,0.567,0.225,-0.008,Positive,Neutral,Neutral,2.15,2.24,1.95,1.79,0.31,El Nino,Neutral
S09,2015-12-08,2.75,2.64,2.47,2.21,1.25,El Nino,0.272,0.347,0.483,0.294,0.296,Neutral,Neutral,Neutral,1.93,1.93,2.15,2.24,1.9,El Nino,El Nino
S10,2016-01-19,2.63,2.75,2.64,2.47,1.57,El Nino,0.266,0.272,0.347,0.483,0.225,Neutral,Neutral,Neutral,1.93,1.93,1.93,2.15,1.79,El Nino,El Nino
S11,2016-04-21,1.05,1.71,2.28,2.63,2.47,El Nino,0.146,-0.009,-0.11,0.266,0.483,Neutral,Neutral,Positive,1.32,1.32,1.8,1.93,2.15,El Nino,El Nino
S12,2017-11-16,-0.77,-0.6,-0.34,-0.07,0.4,La Nina,0.289,0.016,0.034,0.349,0.536,Neutral,Neutral,Positive,-0.62,-0.59,-0.73,-0.72,0.2,La Nina,Neutral
S13,2019-03-04,0.84,0.86,0.89,0.92,0.53,El Nino,0.224,0.416,0.387,0.309,0.604,Neutral,Positive,Positive,0.76,0.5,0.09,0.18,0.62,El Nino,El Nino
S14,2019-04-17,0.77,0.84,0.86,0.89,0.81,El Nino,0.258,0.224,0.416,0.387,0.685,Neutral,Neutral,Positive,0.3,0.76,0.5,0.09,0.52,Neutral,El Nino
S15,2019-07-07,0.33,0.52,0.64,0.77,0.89,Neutral,0.597,0.605,0.539,0.258,0.387,Positive,Positive,Neutral,0.3,0.35,0.23,0.3,0.09,Neutral,Neutral
