Event_ID,Start_Date,Wind_30d_Before_ms,Wind_21d_Before_ms,Wind_14d_Before_ms,Wind_7d_Before_ms,Wind_During_ms,Wind_Change_30d_ms,Wind_Change_21d_ms,Wind_Change_14d_ms,Wind_Change_7d_ms,Wind_Climatology_ms,Wind_Anomaly_ms,Wind_Classification,Weak_Wind_Event
S01,2010-03-04,3.8892,3.851,3.7671,3.7379,3.3973,-0.4918,-0.4536,-0.3698,-0.3406,3.6414,-0.2441,Weak,True
S02,2010-03-28,3.4715,3.3914,3.1943,2.7316,3.1596,-0.3119,-0.2318,-0.0347,0.428,3.1017,0.0579,Strong,False
S03,2010-04-10,3.2045,2.9345,3.0111,2.9453,2.7606,-0.444,-0.1739,-0.2505,-0.1847,3.123,-0.3624,Weak,True
S04,2010-04-22,2.92,2.9822,2.8847,2.767,3.2725,0.3525,0.2903,0.3878,0.5055,3.4114,-0.139,Weak,True
S05,2010-05-11,2.9338,2.971,2.828,3.2677,5.068,2.1343,2.0971,2.24,1.8003,4.643,0.425,Strong,False
S06,2015-06-10,4.0711,4.0339,3.661,3.371,4.1537,0.0826,0.1197,0.4927,0.7827,5.4864,-1.3327,Weak,True
S07,2015-09-05,5.009,4.6122,4.7409,4.4787,4.2405,-0.7685,-0.3716,-0.5004,-0.2382,5.3339,-1.0933,Weak,True
S08,2015-10-11,4.6584,4.2655,3.9599,3.7324,2.7575,-1.901,-1.508,-1.2024,-0.975,4.2196,-1.4622,Weak,True
S09,2015-12-08,3.8467,3.537,3.7605,3.8136,4.1463,0.2995,0.6093,0.3858,0.3327,4.2247,-0.0784,Weak,True
S10,2016-01-19,4.4336,4.4448,4.2727,4.1208,4.2565,-0.1771,-0.1883,-0.0162,0.1357,4.3298,-0.0734,Weak,True
S11,2016-04-21,2.8689,2.6324,2.5482,2.3106,3.5899,0.721,0.9576,1.0417,1.2793,4.2234,-0.6334,Weak,True
S12,2017-11-16,4.3526,4.4327,4.7791,4.9636,2.4443,-1.9083,-1.9884,-2.3348,-2.5193,3.5672,-1.1229,Weak,True
S13,2019-03-04,3.7758,3.9854,3.9305,3.6435,3.0994,-0.6765,-0.886,-0.8311,-0.5441,3.5908,-0.4914,Weak,True
S14,2019-04-17,2.7147,2.5882,2.5228,2.5011,3.3256,0.6109,0.7373,0.8028,0.8244,3.2155,0.11,Strong,False
S15,2019-07-07,5.5462,5.7975,5.5984,5.2723,4.8248,-0.7214,-0.9727,-0.7737,-0.4476,5.8319,-1.0072,Weak,True
S16,2019-10-04,4.5542,4.2108,3.6431,3.0136,2.9637,-1.5905,-1.247,-0.6794,-0.0499,4.6519,-1.6882,Weak,True
S17,2020-07-18,4.4961,4.2642,4.0844,4.2683,4.5996,0.1035,0.3354,0.5151,0.3312,5.5622,-0.9626,Weak,True
S18,2020-08-17,4.9686,5.3078,4.8249,4.3909,4.4756,-0.493,-0.8322,-0.3493,0.0847,5.2862,-0.8105,Weak,True
S19,2021-05-11,2.6953,2.6792,2.2888,2.2352,2.7756,0.0803,0.0964,0.4867,0.5404,4.7522,-1.9767,Weak,True
S20,2023-08-23,5.5454,5.3682,5.0994,4.4507,4.7018,-0.8435,-0.6663,-0.3976,0.2512,5.2116,-0.5098,Weak,True
S21,2023-11-03,3.7225,3.3396,2.9396,2.9097,3.0296,-0.6929,-0.31,0.0901,0.1199,4.0109,-0.9813,Weak,True
S22,2024-01-25,4.4722,4.4764,4.6211,4.5842,4.246,-0.2263,-0.2304,-0.3752,-0.3383,4.0549,0.191,Strong,False
S23,2024-03-28,3.8011,3.559,3.3109,2.9434,2.6076,-1.1935,-0.9513,-0.7033,-0.3358,3.045,-0.4374,Weak,True
S24,2024-04-14,2.9247,2.7083,2.6741,3.1069,3.3396,0.4149,0.6313,0.6655,0.2327,4.0881,-0.7484,Weak,True
S25,2024-06-14,5.4124,5.4839,5.2187,5.3106,4.9372,-0.4752,-0.5467,-0.2815,-0.3735,5.537,-0.5999,Weak,True
S26,2024-09-26,5.8525,6.1074,6.1134,5.887,3.9664,-1.886,-2.141,-2.147,-1.9206,4.9598,-0.9934,Weak,True
S27,2024-10-29,4.4364,4.8049,4.3798,4.5715,4.1809,-0.2555,-0.624,-0.1989,-0.3907,4.1648,0.0218,Strong,False
S28,2025-10-13,4.8456,4.5867,4.0849,4.2536,4.4079,-0.4378,-0.1788,0.3229,0.1543,4.4364,-0.0285,Weak,True
