Year,Events,Mean_Duration,Max_Duration,Mean_Intensity,Max_Intensity,Mean_MEI,Max_MEI,Min_MEI
2006,1,6.0,6,0.0699810010752699,0.1418800064516148,0.057499994,1.0,-0.84
2008,1,6.0,6,0.0242448462365576,0.0560024935483873,-1.0525,-0.78,-1.52
2009,1,7.0,7,0.0863886460829489,0.1618855193548363,-0.025000012,1.04,-1.01
2010,1,7.0,7,0.054277692626728,0.1173279161290352,-0.87166667,1.33,-2.42
2014,1,9.0,9,0.2710513136200683,0.4585283129032298,0.0050000027,0.41,-0.5
2016,3,14.333333333333334,23,0.14071155678666028,0.4010841774193601,0.45833334,1.93,-0.54
2017,1,7.0,7,0.146624434914126,0.206155082352943,-0.47166666,0.2,-0.74
2018,1,9.0,9,0.2611873598566328,0.4352090129032291,-0.25,0.62,-1.32
2019,2,10.5,15,0.1966365004301079,0.6210531838709628,0.34583333,0.76,0.09
2020,5,13.2,21,0.21268835985407047,0.659075399999999,-0.57666665,0.26,-1.17
2021,7,11.857142857142858,23,0.13251243166423513,0.4772617741935505,-1.1808333,-0.79,-1.46
2022,3,11.0,14,0.34038513767933093,0.791831138709675,-1.5500001,-0.98,-2.17
2023,8,12.5,31,0.15402670725246934,0.4868632516129096,0.12166666,1.13,-1.11
2024,6,17.333333333333332,49,0.18087700274134458,0.9121927741935528,-0.15166667,0.78,-0.91
2025,8,17.25,61,0.1732882388506369,0.4836931387096754,-0.8875,-0.36,-1.22
