Year,Events,Mean_Duration,Max_Duration,Mean_Intensity,Max_Intensity,Mean_MEI,Max_MEI,Min_MEI
2010,5,7.2,11,0.09639123573327736,0.2916165709677436,-0.87166667,1.33,-2.42
2015,4,19.0,39,0.09167099246756083,0.3434494935483911,1.2991667,2.24,0.06
2016,2,23.5,32,0.19145057566532236,0.4409555774193521,0.45833334,1.93,-0.54
2017,1,5.0,5,0.0386395929032296,0.0686327709677456,-0.47166666,0.2,-0.74
2019,4,10.5,16,0.16149143750720002,0.3614551580645155,0.34583333,0.76,0.09
2020,2,22.0,32,0.25672375386424773,0.5959445129032268,-0.57666665,0.26,-1.17
2021,1,9.0,9,0.1561603580645159,0.4482937419354798,-1.1808333,-0.79,-1.46
2023,2,16.5,24,0.12618217889784944,0.3584447709677434,0.12166666,1.13,-1.11
2024,6,46.166666666666664,81,0.24009223293634288,0.9428967677419352,-0.15166667,0.78,-0.91
2025,1,6.0,6,0.0880718720430101,0.1541723838709714,-0.8875,-0.36,-1.22
