Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_1m,MEI_Phase_2m,MEI_Phase_3m,MEI_Phase_6m
2010-03-04,2010-03-10,7,0.0726103230414751,0.1525766096774212,1.3300000429153442,1.2799999713897705,0.9300000071525574,0.949999988079071,0.4199999868869781,El Nino,El Nino,El Nino,El Nino,Neutral
2010-03-28,2010-04-03,7,0.0862846336405509,0.1486364580645158,1.3300000429153442,1.2799999713897705,0.9300000071525574,0.949999988079071,0.4199999868869781,El Nino,El Nino,El Nino,El Nino,Neutral
2010-04-10,2010-04-20,11,0.0937927199413499,0.1603686612903239,0.4900000095367431,1.3300000429153442,1.2799999713897705,0.9300000071525574,0.5600000023841858,Neutral,El Nino,El Nino,El Nino,El Nino
2010-04-22,2010-04-26,5,0.0833653348387102,0.1144411258064543,0.4900000095367431,1.3300000429153442,1.2799999713897705,0.9300000071525574,0.5600000023841858,Neutral,El Nino,El Nino,El Nino,El Nino
2010-05-11,2010-05-16,6,0.1459031672043007,0.2916165709677436,-0.1199999973177909,0.4900000095367431,1.3300000429153442,1.2799999713897705,1.0399999618530271,Neutral,Neutral,El Nino,El Nino,El Nino
2015-06-10,2015-06-14,5,0.0374042612903245,0.0732523580645185,1.899999976158142,0.949999988079071,0.3100000023841858,0.1500000059604644,0.3499999940395355,El Nino,El Nino,Neutral,Neutral,Neutral
2015-09-05,2015-09-13,9,0.0729549867383505,0.1961704193548392,2.240000009536743,1.950000047683716,1.7899999618530271,1.899999976158142,0.1500000059604644,El Nino,El Nino,El Nino,El Nino,Neutral
2015-10-11,2015-11-02,23,0.1582461234221601,0.3434494935483911,2.150000095367432,2.240000009536743,1.950000047683716,1.7899999618530271,0.3100000023841858,El Nino,El Nino,El Nino,El Nino,Neutral
2015-12-08,2016-01-15,39,0.0980785984194082,0.2308253709677394,1.9299999475479128,1.9299999475479128,2.150000095367432,2.240000009536743,1.899999976158142,El Nino,El Nino,El Nino,El Nino,El Nino
2016-01-19,2016-02-02,15,0.1355258180645165,0.2429977322580683,1.9299999475479128,1.9299999475479128,1.9299999475479128,2.150000095367432,1.7899999618530271,El Nino,El Nino,El Nino,El Nino,El Nino
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,1.3200000524520874,1.3200000524520874,1.7999999523162842,1.9299999475479128,2.150000095367432,El Nino,El Nino,El Nino,El Nino,El Nino
2017-11-16,2017-11-20,5,0.0386395929032296,0.0686327709677456,-0.6200000047683716,-0.5899999737739563,-0.7300000190734863,-0.7200000286102295,0.2000000029802322,La Nina,La Nina,La Nina,La Nina,Neutral
2019-03-04,2019-03-08,5,0.2130584129032257,0.3008829967741953,0.7599999904632568,0.5,0.0900000035762786,0.1800000071525573,0.6200000047683716,El Nino,El Nino,Neutral,Neutral,El Nino
2019-04-17,2019-04-23,7,0.1018800566820274,0.207298612903223,0.3000000119209289,0.7599999904632568,0.5,0.0900000035762786,0.5199999809265137,Neutral,El Nino,El Nino,Neutral,El Nino
2019-07-07,2019-07-20,14,0.1524633806451605,0.2827658290322574,0.3000000119209289,0.3499999940395355,0.2300000041723251,0.3000000119209289,0.0900000035762786,Neutral,Neutral,Neutral,Neutral,Neutral
2019-10-04,2019-10-19,16,0.1785638997983865,0.3614551580645155,0.3100000023841858,0.1599999964237213,0.3199999928474426,0.3000000119209289,0.3000000119209289,Neutral,Neutral,Neutral,Neutral,Neutral
2020-07-18,2020-07-29,12,0.2119671188172057,0.3314167967741923,-0.9399999976158142,-0.6800000071525574,-0.2300000041723251,-0.1500000059604644,0.2399999946355819,La Nina,La Nina,Neutral,Neutral,Neutral
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,-0.959999978542328,-0.9399999976158142,-0.6800000071525574,-0.2300000041723251,0.2599999904632568,La Nina,La Nina,La Nina,Neutral,Neutral
2021-05-11,2021-05-19,9,0.1561603580645159,0.4482937419354798,-1.0700000524520874,-0.949999988079071,-0.7900000214576721,-0.959999978542328,-1.1299999952316284,La Nina,La Nina,La Nina,La Nina,La Nina
2023-08-23,2023-08-31,9,0.0713251602150531,0.1878571129032273,0.5099999904632568,0.5099999904632568,0.4300000071525574,-0.0599999986588954,-0.9100000262260436,El Nino,El Nino,Neutral,Neutral,La Nina
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434,0.9100000262260436,0.4799999892711639,0.6899999976158142,0.5099999904632568,-0.0599999986588954,El Nino,Neutral,El Nino,El Nino,Neutral
2024-01-25,2024-03-08,44,0.1628428858504402,0.3416137032258,0.699999988079071,1.1299999952316284,0.9100000262260436,0.4799999892711639,0.5099999904632568,El Nino,El Nino,El Nino,Neutral,El Nino
2024-03-28,2024-04-11,15,0.2428857410752691,0.4830745806451588,0.7799999713897705,0.6800000071525574,0.699999988079071,1.1299999952316284,0.6899999976158142,El Nino,El Nino,El Nino,El Nino,El Nino
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419352,0.3400000035762787,0.7799999713897705,0.6800000071525574,0.699999988079071,0.4799999892711639,Neutral,El Nino,El Nino,El Nino,Neutral
2024-06-14,2024-09-02,81,0.1455375629231377,0.4631175096774171,-0.2399999946355819,0.1199999973177909,0.3400000035762787,0.7799999713897705,1.1299999952316284,Neutral,Neutral,Neutral,El Nino,El Nino
2024-09-26,2024-10-12,17,0.1371748707779881,0.2684732903225857,-0.6499999761581421,-0.7300000190734863,-0.7200000286102295,-0.2399999946355819,0.7799999713897705,La Nina,La Nina,La Nina,Neutral,El Nino
2024-10-29,2025-01-16,79,0.2124868961572334,0.6199571483870976,-0.5099999904632568,-0.6499999761581421,-0.7300000190734863,-0.7200000286102295,0.3400000035762787,La Nina,La Nina,La Nina,La Nina,Neutral
2025-10-13,2025-10-18,6,0.0880718720430101,0.1541723838709714,-1.190000057220459,-1.1200000047683716,-0.8700000047683716,-1.2200000286102295,-0.3799999952316284,La Nina,La Nina,La Nina,La Nina,Neutral
