Year,North Mean SST,Central Mean SST,South Mean SST
2016,28.579086303710938,29.068618774414062,29.211584091186523
2017,28.404071807861328,28.843183517456055,28.918214797973633
2018,28.193952560424805,28.858631134033203,29.036788940429688
2019,28.345237731933594,28.987144470214844,29.186309814453125
2020,28.57282829284668,29.02684211730957,29.129663467407227
2021,28.650983810424805,29.08159828186035,29.15650177001953
2022,28.62077522277832,29.031076431274414,28.95611572265625
2023,28.68166732788086,29.00353240966797,29.03612518310547
2024,28.676876068115234,29.373287200927734,29.579240798950195
2025,28.679906845092773,29.064271926879883,29.09235382080078
2026,27.79047203063965,29.055444717407227,29.593942642211914
