Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,ONI_30d_Before,ONI_21d_Before,ONI_14d_Before,ONI_7d_Before,ONI_During,ENSO_Phase
2006-03-06,2006-03-11,6,0.0699810010752699,0.1418800064516148,-0.66999996,-0.66999996,-0.66999996,-0.66999996,-0.57,La Nina
2008-10-13,2008-10-18,6,0.0242448462365576,0.0560024935483873,-0.295,-0.295,-0.295,-0.35,-0.35,Neutral
2009-11-14,2009-11-20,7,0.0863886460829489,0.1618855193548363,1.185,1.185,1.185,1.36,1.36,El Nino
2010-03-16,2010-03-22,7,0.054277692626728,0.1173279161290352,1.03,1.03,0.84,0.84,0.84,El Nino
2014-06-11,2014-06-19,9,0.2710513136200683,0.4585283129032298,0.27,0.27,0.27,0.23,0.23,Neutral
2016-02-18,2016-03-03,15,0.2163602610752692,0.4010841774193601,2.455,2.455,2.28,2.28,1.995,El Nino
2016-03-06,2016-03-28,23,0.1550480144460032,0.3465208903225836,1.995,1.995,1.995,1.995,1.71,El Nino
2016-08-26,2016-08-30,5,0.0507263948387084,0.1037909580645148,-0.405,-0.5,-0.5,-0.5,-0.5,La Nina
2017-01-01,2017-01-07,7,0.146624434914126,0.206155082352943,-0.45,-0.45,-0.45,-0.45,-0.19,Neutral
2018-09-29,2018-10-07,9,0.2611873598566328,0.4352090129032291,0.39999998,0.53,0.53,0.53,0.66999996,El Nino
2019-06-24,2019-06-29,6,0.0772094075268832,0.107251825806454,0.58,0.52,0.52,0.52,0.52,El Nino
2019-10-17,2019-10-31,15,0.3160635933333326,0.6210531838709628,0.31,0.31,0.39,0.39,0.39,Neutral
2020-05-11,2020-05-17,7,0.2228268479262663,0.32248381935484,0.155,0.155,0.155,0.01,0.01,Neutral
2020-06-24,2020-07-05,12,0.100374485483871,0.2049202870967761,-0.11,-0.23,-0.23,-0.23,-0.29500002,Neutral
2020-07-08,2020-07-13,6,0.0793521005376357,0.1496445096774188,-0.29500002,-0.29500002,-0.29500002,-0.36,-0.36,Neutral
2020-07-25,2020-08-13,20,0.2484124362903221,0.5033501387096777,-0.29500002,-0.36,-0.36,-0.36,-0.445,Neutral
2020-09-03,2020-09-23,21,0.4124759290322574,0.659075399999999,-0.69,-0.69,-0.69,-0.69,-0.85,La Nina
