Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,ONI_30d_Before,ONI_21d_Before,ONI_14d_Before,ONI_7d_Before,ONI_During,ENSO_Phase
2022-08-29,2022-09-11,14,0.491046052534562,0.7155913999999974,-0.815,-0.87,-0.87,-0.87,-0.92,La Nina
2022-07-27,2022-08-08,13,0.427123138709678,0.791831138709675,-0.77,-0.76,-0.76,-0.76,-0.815,La Nina
2020-09-03,2020-09-23,21,0.4124759290322574,0.659075399999999,-0.69,-0.69,-0.69,-0.69,-0.85,La Nina
2024-10-07,2024-10-22,16,0.3530566467741929,0.584013141935479,-0.19,-0.19,-0.19,-0.19,-0.21,Neutral
2019-10-17,2019-10-31,15,0.3160635933333326,0.6210531838709628,0.31,0.31,0.39,0.39,0.39,Neutral
2024-04-07,2024-05-25,49,0.3037085087557604,0.9121927741935528,1.04,1.04,1.04,1.04,0.655,El Nino
2014-06-11,2014-06-19,9,0.2710513136200683,0.4585283129032298,0.27,0.27,0.27,0.23,0.23,Neutral
2025-08-03,2025-08-17,15,0.2619571511827951,0.4766034870967743,-0.21000001,-0.21000001,-0.21000001,-0.21000001,-0.28,Neutral
2018-09-29,2018-10-07,9,0.2611873598566328,0.4352090129032291,0.39999998,0.53,0.53,0.53,0.66999996,El Nino
2023-04-11,2023-05-11,31,0.2531448370447453,0.4868632516129096,0.125,0.125,0.125,0.27,0.42000002,Neutral
