Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,ONI_30d_Before,ONI_21d_Before,ONI_14d_Before,ONI_7d_Before,ONI_During,ENSO_Phase
2010-03-04,2010-03-10,7,0.0726103230414751,0.1525766096774212,1.03,1.03,1.03,1.03,0.84,El Nino
2010-03-28,2010-04-03,7,0.0862846336405509,0.1486364580645158,1.03,0.84,0.84,0.84,0.59499997,El Nino
2010-04-10,2010-04-20,11,0.0937927199413499,0.1603686612903239,0.59499997,0.59499997,0.59499997,0.35,0.35,Neutral
2010-04-22,2010-04-26,5,0.0833653348387102,0.1144411258064543,0.59499997,0.35,0.35,0.35,0.35,Neutral
2010-05-11,2010-05-16,6,0.1459031672043007,0.2916165709677436,0.089999996,0.089999996,0.089999996,-0.17,-0.17,Neutral
2015-06-10,2015-06-14,5,0.0374042612903245,0.0732523580645185,1.135,1.135,1.135,1.25,1.25,El Nino
2015-09-05,2015-09-13,9,0.0729549867383505,0.1961704193548392,2.06,2.06,2.06,2.06,2.21,El Nino
2015-10-11,2015-11-02,23,0.1582461234221601,0.3434494935483911,2.3400002,2.3400002,2.3400002,2.47,2.555,El Nino
2015-12-08,2016-01-15,39,0.0980785984194082,0.2308253709677394,2.6950002,2.6950002,2.6950002,2.75,2.69,El Nino
2016-01-19,2016-02-02,15,0.1355258180645165,0.2429977322580683,2.69,2.69,2.63,2.63,2.455,El Nino
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,1.38,1.38,1.05,1.05,0.77,El Nino
2017-11-16,2017-11-20,5,0.0386395929032296,0.0686327709677456,-0.685,-0.685,-0.77,-0.77,-0.77,La Nina
2019-03-04,2019-03-08,5,0.2130584129032257,0.3008829967741953,0.85,0.85,0.85,0.85,0.84,El Nino
2019-04-17,2019-04-23,7,0.1018800566820274,0.207298612903223,0.80499995,0.80499995,0.77,0.77,0.77,El Nino
2019-07-07,2019-07-20,14,0.1524633806451605,0.2827658290322574,0.425,0.425,0.425,0.425,0.33,Neutral
2019-10-04,2019-10-19,16,0.1785638997983865,0.3614551580645155,0.31,0.31,0.31,0.31,0.39,Neutral
2020-07-18,2020-07-29,12,0.2119671188172057,0.3314167967741923,-0.29500002,-0.29500002,-0.36,-0.36,-0.36,Neutral
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,-0.445,-0.445,-0.53,-0.53,-0.69,La Nina
2021-05-11,2021-05-19,9,0.1561603580645159,0.4482937419354798,-0.47,-0.47,-0.47,-0.39,-0.39,Neutral
2023-08-23,2023-08-31,9,0.0713251602150531,0.1878571129032273,1.245,1.37,1.37,1.37,1.37,El Nino
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434,1.9100001,1.9100001,1.9100001,1.9100001,1.99,El Nino
2024-01-25,2024-03-08,44,0.1628428858504402,0.3416137032258,1.99,1.92,1.92,1.92,1.6,El Nino
2024-03-28,2024-04-11,15,0.2428857410752691,0.4830745806451588,1.44,1.26,1.26,1.26,1.04,El Nino
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419352,1.04,1.04,1.04,0.82,0.655,El Nino
2024-06-14,2024-09-02,81,0.1455375629231377,0.4631175096774171,0.35500002,0.35500002,0.35500002,0.22,0.015000004,Neutral
2024-09-26,2024-10-12,17,0.1371748707779881,0.2684732903225857,-0.120000005,-0.17,-0.17,-0.17,-0.19,Neutral
2024-10-29,2025-01-16,79,0.2124868961572334,0.6199571483870976,-0.19,-0.21,-0.21,-0.21,-0.34499997,Neutral
2025-10-13,2025-10-18,6,0.0880718720430101,0.1541723838709714,-0.45499998,-0.45499998,-0.45499998,-0.51,-0.51,La Nina
