Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,ONI_30d_Before,ONI_21d_Before,ONI_14d_Before,ONI_7d_Before,ONI_During,ENSO_Phase
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419352,1.04,1.04,1.04,0.82,0.655,El Nino
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,-0.445,-0.445,-0.53,-0.53,-0.69,La Nina
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,1.38,1.38,1.05,1.05,0.77,El Nino
2024-03-28,2024-04-11,15,0.2428857410752691,0.4830745806451588,1.44,1.26,1.26,1.26,1.04,El Nino
2019-03-04,2019-03-08,5,0.2130584129032257,0.3008829967741953,0.85,0.85,0.85,0.85,0.84,El Nino
2024-10-29,2025-01-16,79,0.2124868961572334,0.6199571483870976,-0.19,-0.21,-0.21,-0.21,-0.34499997,Neutral
2020-07-18,2020-07-29,12,0.2119671188172057,0.3314167967741923,-0.29500002,-0.29500002,-0.36,-0.36,-0.36,Neutral
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434,1.9100001,1.9100001,1.9100001,1.9100001,1.99,El Nino
2019-10-04,2019-10-19,16,0.1785638997983865,0.3614551580645155,0.31,0.31,0.31,0.31,0.39,Neutral
2024-01-25,2024-03-08,44,0.1628428858504402,0.3416137032258,1.99,1.92,1.92,1.92,1.6,El Nino
