Year,Events,Mean_Duration,Max_Duration,Mean_Intensity,Max_Intensity,Mean_ONI,Max_ONI,Min_ONI
2006,1,6.0,6,0.0699810010752699,0.1418800064516148,0.071666665,0.94,-0.85
2008,1,6.0,6,0.0242448462365576,0.0560024935483873,-0.7816667,-0.23,-1.64
2009,1,7.0,7,0.0863886460829489,0.1618855193548363,0.28166664,1.56,-0.85
2010,1,7.0,7,0.054277692626728,0.1173279161290352,-0.475,1.5,-1.64
2014,1,9.0,9,0.2710513136200683,0.4585283129032298,0.205,0.77,-0.32
2016,3,14.333333333333334,23,0.14071155678666028,0.4010841774193601,0.42333332,2.63,-0.64
2017,1,7.0,7,0.146624434914126,0.206155082352943,-0.115,0.4,-0.86
2018,1,9.0,9,0.2611873598566328,0.4352090129032291,0.09416667,0.97,-0.77
2019,2,10.5,15,0.1966365004301079,0.6210531838709628,0.575,0.89,0.19
2020,5,13.2,21,0.21268835985407047,0.659075399999999,-0.27166668,0.64,-1.2
2021,7,11.857142857142858,23,0.13251243166423513,0.4772617741935505,-0.635,-0.3,-0.91
2022,3,11.0,14,0.34038513767933093,0.791831138709675,-0.84999996,-0.71,-0.97
2023,8,12.5,31,0.15402670725246934,0.4868632516129096,0.90000004,2.06,-0.54
2024,6,17.333333333333332,49,0.18087700274134458,0.9121927741935528,0.43666664,1.92,-0.42
2025,8,17.25,61,0.1732882388506369,0.4836931387096754,-0.2675,0.02,-0.55
