Date,HeatFlux
2006-01-01,-39444.277
2006-01-08,-34658.684
2006-01-15,-40256.0
2006-01-22,-50049.137
2006-01-29,-50338.996
2006-02-01,-35864.758
2006-02-08,-40504.29
2006-02-15,-36972.453
2006-02-22,-36425.844
2006-03-01,-39641.086
2006-03-08,-48405.676
2006-03-15,-42776.312
2006-03-22,-47053.414
2006-03-29,-43674.203
2006-04-01,-45015.97
2006-04-08,-46793.117
2006-04-15,-44353.387
2006-04-22,-51492.33
2006-04-29,-45504.43
2006-05-01,-37168.51
2006-05-08,-43602.855
2006-05-15,-50223.094
2006-05-22,-55340.613
2006-05-29,-42730.22
2006-06-01,-34373.453
2006-06-08,-46914.656
2006-06-15,-43058.637
2006-06-22,-51500.75
2006-06-29,-32064.473
2006-07-01,-29111.98
2006-07-08,-23288.383
2006-07-15,-42063.09
2006-07-22,-30387.928
2006-07-29,-30693.572
2006-08-01,-33693.18
2006-08-08,-23428.795
2006-08-15,-28194.266
2006-08-22,-34146.926
2006-08-29,-39851.76
2006-09-01,-56278.797
2006-09-08,-45876.434
2006-09-15,-64097.402
2006-09-22,-30005.309
2006-09-29,-46330.633
2006-10-01,-44485.816
2006-10-08,-52894.01
2006-10-15,-34149.77
2006-10-22,-40896.51
2006-10-29,-41503.29
2006-11-01,-42588.207
2006-11-08,-44369.977
2006-11-15,-57593.23
2006-11-22,-41108.914
2006-11-29,-42636.594
2006-12-01,-47112.504
2006-12-08,-51802.023
2006-12-15,-47365.184
2006-12-22,-45933.38
2006-12-29,-49218.09
2007-01-01,-52987.496
2007-01-08,-40394.727
2007-01-15,-35695.21
2007-01-22,-46509.992
2007-01-29,-44614.95
2007-02-01,-39756.215
2007-02-08,-42699.523
2007-02-15,-45010.56
2007-02-22,-54051.652
2007-03-01,-45206.797
2007-03-08,-59577.367
2007-03-15,-44304.43
2007-03-22,-45385.03
2007-03-29,-46048.99
2007-04-01,-44702.633
2007-04-08,-39394.805
2007-04-15,-60696.617
2007-04-22,-41760.957
2007-04-29,-33695.223
2007-05-01,-40029.527
2007-05-08,-47310.105
2007-05-15,-23762.936
2007-05-22,-31397.531
2007-05-29,-42355.84
2007-06-01,-39825.184
2007-06-08,-53338.137
2007-06-15,-59175.97
2007-06-22,-48099.49
2007-06-29,-28091.004
2007-07-01,-19830.32
2007-07-08,-31187.164
2007-07-15,-28285.695
2007-07-22,-45629.28
2007-07-29,-57279.168
2007-08-01,-56406.45
2007-08-08,-13144.235
2007-08-15,-31567.248
2007-08-22,-42922.22
2007-08-29,-51382.1
2007-09-01,-41074.043
2007-09-08,-36769.668
2007-09-15,-54341.09
2007-09-22,-29784.99
2007-09-29,-52652.28
2007-10-01,-54311.73
2007-10-08,-30957.316
2007-10-15,-34068.008
2007-10-22,-49099.332
2007-10-29,-39045.918
2007-11-01,-39645.746
2007-11-08,-38506.613
2007-11-15,-30189.678
2007-11-22,-41978.51
2007-11-29,-41882.406
2007-12-01,-46711.61
2007-12-08,-33998.445
2007-12-15,-38631.082
2007-12-22,-34531.17
2007-12-29,-40373.367
2008-01-01,-46492.473
2008-01-08,-39144.523
2008-01-15,-43750.78
2008-01-22,-43705.86
2008-01-29,-42144.816
2008-02-01,-40756.984
2008-02-08,-32097.268
2008-02-15,-53297.883
2008-02-22,-62920.215
2008-02-29,-42108.25
2008-03-01,-42308.01
2008-03-08,-44546.406
2008-03-15,-34644.18
2008-03-22,-41319.05
2008-03-29,-56245.62
2008-04-01,-42531.145
2008-04-08,-42177.625
2008-04-15,-43150.23
2008-04-22,-41404.242
2008-04-29,-59868.473
2008-05-01,-46557.57
2008-05-08,-55750.676
2008-05-15,-37452.453
2008-05-22,-32584.297
2008-05-29,-44280.125
2008-06-01,-57019.47
2008-06-08,-46961.082
2008-06-15,-24247.176
2008-06-22,-50699.074
2008-06-29,-34787.844
2008-07-01,-37156.176
2008-07-08,-38197.04
2008-07-15,-47222.062
2008-07-22,-54327.375
2008-07-29,-32302.094
2008-08-01,-35852.113
2008-08-08,-30348.51
2008-08-15,-41999.945
2008-08-22,-35812.715
2008-08-29,-50925.38
2008-09-01,-36053.273
2008-09-08,-61563.45
2008-09-15,-30460.084
2008-09-22,-31269.531
2008-09-29,-36963.406
2008-10-01,-33766.79
2008-10-08,-36197.32
2008-10-15,-45270.79
2008-10-22,-57862.504
2008-10-29,-36226.363
2008-11-01,-40304.137
2008-11-08,-36470.6
2008-11-15,-38591.195
2008-11-22,-48504.12
2008-11-29,-34258.566
2008-12-01,-39725.996
2008-12-08,-42331.68
2008-12-15,-35570.965
2008-12-22,-35596.203
2008-12-29,-56664.88
2009-01-01,-36236.11
2009-01-08,-37514.223
2009-01-15,-55285.02
2009-01-22,-47387.414
2009-01-29,-48605.215
2009-02-01,-44011.074
2009-02-08,-38355.812
2009-02-15,-54131.69
2009-02-22,-32952.49
2009-03-01,-41668.61
2009-03-08,-49844.395
2009-03-15,-47326.23
2009-03-22,-38808.06
2009-03-29,-40505.29
2009-04-01,-43553.66
2009-04-08,-53116.53
2009-04-15,-50165.88
2009-04-22,-43515.953
2009-04-29,-43859.965
2009-05-01,-40926.867
2009-05-08,-43077.637
2009-05-15,-33615.562
2009-05-22,-82560.57
2009-05-29,-60075.742
2009-06-01,-32490.693
2009-06-08,-23705.193
2009-06-15,-43274.85
2009-06-22,-31632.564
2009-06-29,-36078.113
2009-07-01,-44732.83
2009-07-08,-29024.55
2009-07-15,-22008.232
2009-07-22,-21315.746
2009-07-29,-33489.6
2009-08-01,-35980.24
2009-08-08,-22831.242
