Date,HeatFlux
2006-01-01,-401952.1
2006-01-08,-327452.28
2006-01-15,-311911.0
2006-01-22,-328107.1
2006-01-29,-323309.62
2006-02-01,-293724.38
2006-02-08,-261858.28
2006-02-15,-255824.28
2006-02-22,-231736.84
2006-03-01,-251999.72
2006-03-08,-268873.06
2006-03-15,-280156.6
2006-03-22,-320745.0
2006-03-29,-272491.12
2006-04-01,-311949.1
2006-04-08,-320033.7
2006-04-15,-301784.56
2006-04-22,-336981.75
2006-04-29,-380935.88
2006-05-01,-310710.8
2006-05-08,-394391.56
2006-05-15,-338155.88
2006-05-22,-351447.8
2006-05-29,-418452.44
2006-06-01,-421294.44
2006-06-08,-359119.72
2006-06-15,-394833.4
2006-06-22,-385226.12
2006-06-29,-458246.28
2006-07-01,-470618.7
2006-07-08,-329701.28
2006-07-15,-383316.38
2006-07-22,-366253.12
2006-07-29,-426672.44
2006-08-01,-441100.94
2006-08-08,-377727.8
2006-08-15,-358864.75
2006-08-22,-328025.5
2006-08-29,-407657.6
2006-09-01,-377753.16
2006-09-08,-365789.78
2006-09-15,-394638.75
2006-09-22,-375984.34
2006-09-29,-376511.12
2006-10-01,-342106.4
2006-10-08,-344376.2
2006-10-15,-341781.34
2006-10-22,-408456.12
2006-10-29,-352963.66
2006-11-01,-326847.16
2006-11-08,-328071.28
2006-11-15,-330169.16
2006-11-22,-338694.97
2006-11-29,-422787.44
2006-12-01,-397932.78
2006-12-08,-350557.28
2006-12-15,-384724.44
2006-12-22,-334280.62
2006-12-29,-290558.4
2007-01-01,-312468.75
2007-01-08,-382302.3
2007-01-15,-273399.72
2007-01-22,-284671.47
2007-01-29,-220219.97
2007-02-01,-227835.34
2007-02-08,-235202.0
2007-02-15,-285401.03
2007-02-22,-358101.22
2007-03-01,-274959.53
2007-03-08,-288803.38
2007-03-15,-288554.75
2007-03-22,-259863.03
2007-03-29,-242465.72
2007-04-01,-273738.56
2007-04-08,-295167.22
2007-04-15,-281012.9
2007-04-22,-332158.62
2007-04-29,-308588.72
2007-05-01,-287737.5
2007-05-08,-348126.34
2007-05-15,-324394.06
