Date,HeatFlux
2006-01-01,-409839.72
2006-01-08,-442923.1
2006-01-15,-305348.03
2006-01-22,-663772.75
2006-01-29,-478515.25
2006-02-01,-497718.6
2006-02-08,-364155.88
2006-02-15,-314238.66
2006-02-22,-404808.84
2006-03-01,-378823.12
2006-03-08,-373606.25
2006-03-15,-398545.78
2006-03-22,-451709.84
2006-03-29,-382429.56
2006-04-01,-379689.3
2006-04-08,-399672.06
2006-04-15,-329254.4
2006-04-22,-574912.5
2006-04-29,-438304.47
2006-05-01,-375052.7
2006-05-08,-322927.4
2006-05-15,-529235.5
2006-05-22,-602880.75
2006-05-29,-442775.72
2006-06-01,-326543.72
2006-06-08,-500166.53
2006-06-15,-481236.2
2006-06-22,-580713.6
2006-06-29,-510566.25
2006-07-01,-552068.56
2006-07-08,-482447.12
2006-07-15,-549743.5
2006-07-22,-390551.3
2006-07-29,-460398.8
2006-08-01,-414712.2
2006-08-08,-496224.22
2006-08-15,-495489.78
2006-08-22,-381015.5
2006-08-29,-507255.38
2006-09-01,-451535.1
2006-09-08,-394428.38
2006-09-15,-446382.44
2006-09-22,-348537.78
2006-09-29,-555000.25
2006-10-01,-485040.84
2006-10-08,-428914.78
2006-10-15,-315691.78
2006-10-22,-302787.62
2006-10-29,-327726.78
2006-11-01,-322054.53
2006-11-08,-290798.25
2006-11-15,-366087.12
2006-11-22,-321163.16
2006-11-29,-400686.88
2006-12-01,-371910.4
2006-12-08,-367958.53
2006-12-15,-368787.2
2006-12-22,-467112.84
2006-12-29,-543778.7
2007-01-01,-473022.62
2007-01-08,-400287.28
2007-01-15,-388229.9
2007-01-22,-496534.16
2007-01-29,-496860.62
2007-02-01,-632750.8
2007-02-08,-449268.78
2007-02-15,-391122.6
2007-02-22,-526688.5
2007-03-01,-381020.28
2007-03-08,-455429.75
2007-03-15,-322234.22
2007-03-22,-519300.66
2007-03-29,-357087.5
2007-04-01,-364675.03
2007-04-08,-406088.16
2007-04-15,-401042.97
2007-04-22,-411651.84
2007-04-29,-471232.12
2007-05-01,-453928.47
2007-05-08,-451670.2
2007-05-15,-443591.72
2007-05-22,-389235.03
2007-05-29,-494125.0
2007-06-01,-373985.8
2007-06-08,-414347.72
2007-06-15,-575035.2
2007-06-22,-373584.12
2007-06-29,-492912.72
2007-07-01,-425684.1
2007-07-08,-473797.72
2007-07-15,-457176.72
2007-07-22,-487675.4
2007-07-29,-452394.53
2007-08-01,-495016.66
2007-08-08,-499118.22
2007-08-15,-445671.7
2007-08-22,-432097.84
2007-08-29,-381775.78
2007-09-01,-481548.78
2007-09-08,-439901.47
2007-09-15,-514414.8
2007-09-22,-440280.5
2007-09-29,-501107.03
2007-10-01,-569857.94
2007-10-08,-334076.5
2007-10-15,-332415.12
2007-10-22,-452709.03
2007-10-29,-337250.06
2007-11-01,-323782.1
2007-11-08,-479375.03
2007-11-15,-288197.9
2007-11-22,-297291.72
2007-11-29,-453970.56
2007-12-01,-485644.94
2007-12-08,-418317.97
2007-12-15,-352143.8
2007-12-22,-308641.66
2007-12-29,-546277.5
2008-01-01,-437396.7
2008-01-08,-313243.88
2008-01-15,-551136.3
2008-01-22,-475162.0
2008-01-29,-365270.75
2008-02-01,-396849.6
2008-02-08,-345122.97
2008-02-15,-445795.56
2008-02-22,-506834.56
2008-02-29,-353978.84
2008-03-01,-386141.94
2008-03-08,-526447.94
2008-03-15,-472011.53
2008-03-22,-328694.9
2008-03-29,-415329.7
2008-04-01,-331104.88
2008-04-08,-354531.7
2008-04-15,-372301.34
2008-04-22,-467186.75
2008-04-29,-512819.38
2008-05-01,-494598.1
2008-05-08,-496703.3
2008-05-15,-548245.0
2008-05-22,-339680.22
2008-05-29,-459414.75
2008-06-01,-462123.38
2008-06-08,-395184.5
2008-06-15,-462910.44
2008-06-22,-541521.0
2008-06-29,-377184.44
2008-07-01,-413047.28
2008-07-08,-563183.7
2008-07-15,-562723.6
2008-07-22,-581632.56
2008-07-29,-451888.56
2008-08-01,-418224.38
2008-08-08,-532865.4
2008-08-15,-419340.75
2008-08-22,-493207.72
2008-08-29,-461904.75
2008-09-01,-341489.9
2008-09-08,-445415.25
2008-09-15,-439979.0
2008-09-22,-350339.47
2008-09-29,-504143.5
2008-10-01,-374338.8
2008-10-08,-400898.72
2008-10-15,-320336.12
2008-10-22,-434933.2
2008-10-29,-427264.38
2008-11-01,-514642.75
2008-11-08,-435683.66
2008-11-15,-380583.12
2008-11-22,-480785.0
2008-11-29,-407447.9
2008-12-01,-411775.2
2008-12-08,-336827.44
2008-12-15,-362433.7
2008-12-22,-502432.47
2008-12-29,-456333.88
2009-01-01,-545692.06
2009-01-08,-430105.38
2009-01-15,-595776.06
2009-01-22,-582589.1
2009-01-29,-444455.47
2009-02-01,-424929.12
2009-02-08,-514564.66
2009-02-15,-369311.06
2009-02-22,-337678.66
2009-03-01,-396961.2
2009-03-08,-365071.3
2009-03-15,-395080.4
2009-03-22,-356457.78
2009-03-29,-336004.56
2009-04-01,-467366.44
2009-04-08,-406518.66
2009-04-15,-489347.97
2009-04-22,-552003.8
2009-04-29,-393481.34
2009-05-01,-410850.5
2009-05-08,-454912.88
2009-05-15,-661129.1
2009-05-22,-571327.25
2009-05-29,-505180.62
2009-06-01,-442125.47
2009-06-08,-479155.97
2009-06-15,-602122.44
2009-06-22,-599604.1
2009-06-29,-456253.1
2009-07-01,-496025.03
2009-07-08,-326315.9
2009-07-15,-491482.47
2009-07-22,-495970.66
2009-07-29,-470078.62
2009-08-01,-542593.75
2009-08-08,-534129.75
2009-08-15,-403497.75
2009-08-22,-463058.7
2009-08-29,-511484.5
2009-09-01,-440604.5
2009-09-08,-414263.16
2009-09-15,-515598.2
2009-09-22,-377459.53
2009-09-29,-555875.25
2009-10-01,-525894.5
2009-10-08,-459851.72
2009-10-15,-313964.4
2009-10-22,-378744.38
2009-10-29,-320533.84
2009-11-01,-367834.78
2009-11-08,-333214.56
2009-11-15,-447066.4
2009-11-22,-513536.0
2009-11-29,-316682.72
2009-12-01,-334798.56
2009-12-08,-364517.28
2009-12-15,-348882.38
2009-12-22,-419022.88
2009-12-29,-422297.34
2010-01-01,-522680.47
2010-01-08,-320589.1
2010-01-15,-480048.6
2010-01-22,-504764.7
2010-01-29,-393667.53
2010-02-01,-438908.7
2010-02-08,-423728.06
2010-02-15,-472587.97
2010-02-22,-525765.5
2010-03-01,-438895.78
2010-03-08,-343798.28
2010-03-15,-370746.22
2010-03-22,-355962.75
2010-03-29,-338063.06
2010-04-01,-446546.75
2010-04-08,-373314.72
2010-04-15,-350396.88
2010-04-22,-431343.8
2010-04-29,-407722.38
2010-05-01,-325782.3
2010-05-08,-442586.5
2010-05-15,-583367.2
2010-05-22,-458400.72
2010-05-29,-403779.38
