Start_Date,End_Date,Duration,Mean_Intensity,SLHF_Climatology,SLHF_During,SLHF_Anomaly,SSHF_Climatology,SSHF_During,SSHF_Anomaly
2010-03-04,2010-03-10,7,0.0726103230414751,-408929.28,-329080.75,79848.53,-38174.727,-26012.768,12161.959
2010-03-28,2010-04-03,7,0.0862846336405509,-408929.28,-395767.16,13162.125,-38174.727,-36400.125,1774.6016
2010-04-10,2010-04-20,11,0.0937927199413499,-401048.84,-353246.1,47802.75,-43607.066,-32741.865,10865.201
2010-04-22,2010-04-26,5,0.0833653348387102,-401048.84,-458240.62,-57191.78,-43607.066,-57992.42,-14385.355
2010-05-11,2010-05-16,6,0.1459031672043007,-493293.88,-650611.06,-157317.19,-44272.82,-79332.23,-35059.406
2015-09-05,2015-09-13,9,0.0729549867383505,-468110.2,-395866.72,72243.47,-39524.95,-40899.87,-1374.9219
2015-10-11,2015-11-02,23,0.1582461234221601,-412260.8,-351029.8,61231.0,-39750.574,-43101.355,-3350.7812
2015-12-08,2016-01-15,39,0.0980785984194082,-415258.03,-444542.0,-29283.969,-42270.816,-38404.535,3866.2812
2016-01-19,2016-02-02,15,0.1355258180645165,-451416.25,-433904.22,17512.031,-39955.64,-41986.605,-2030.9648
2016-04-21,2016-05-22,32,0.2473753332661282,-401048.84,-460095.1,-59046.25,-43607.066,-46518.45,-2911.3828
2019-03-04,2019-03-08,5,0.2130584129032257,-408929.28,-410142.53,-1213.25,-38174.727,-30440.104,7734.623
2019-04-17,2019-04-23,7,0.1018800566820274,-401048.84,-373908.6,27140.25,-43607.066,-42403.918,1203.1484
2019-07-07,2019-07-20,14,0.1524633806451605,-515313.7,-451810.94,63502.75,-39041.36,-38026.453,1014.90625
2019-10-04,2019-10-19,16,0.1785638997983865,-412260.8,-375306.06,36954.75,-39750.574,-50895.0,-11144.426
2020-07-18,2020-07-29,12,0.2119671188172057,-515313.7,-517122.7,-1809.0,-39041.36,-47051.547,-8010.1875
2020-08-17,2020-09-17,32,0.3014803889112898,-487270.16,-513342.16,-26072.0,-40176.707,-49996.82,-9820.113
2021-05-11,2021-05-19,9,0.1561603580645159,-493293.88,-393974.34,99319.53,-44272.82,-36655.797,7617.0234
2023-08-23,2023-08-31,9,0.0713251602150531,-487270.16,-468656.5,18613.656,-40176.707,-41607.312,-1430.6055
2023-11-03,2023-11-26,24,0.1810391975806458,-404165.6,-305745.1,98420.5,-44601.984,-32676.963,11925.021
2024-01-25,2024-03-08,44,0.1628428858504402,-451416.25,-414219.9,37196.344,-39955.64,-35005.086,4950.5547
2024-03-28,2024-04-11,15,0.2428857410752691,-408929.28,-342875.1,66054.19,-38174.727,-38809.48,-634.7539
2024-04-14,2024-05-24,41,0.5396254408339888,-401048.84,-408266.7,-7217.8438,-43607.066,-39847.32,3759.746
2024-06-14,2024-09-02,81,0.1455375629231377,-525831.94,-481186.5,44645.438,-39940.324,-33293.125,6647.199
2024-09-26,2024-10-12,17,0.1371748707779881,-468110.2,-394229.72,73880.47,-39524.95,-38692.707,832.2422
2024-10-29,2025-01-16,79,0.2124868961572334,-412260.8,-431786.03,-19525.219,-39750.574,-42846.746,-3096.1719
2025-10-13,2025-10-18,6,0.0880718720430101,-412260.8,-434414.6,-22153.781,-39750.574,-49948.082,-10197.508
