Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_2m,IOD_Phase_3m,IOD_Phase_6m
2010-03-04,2010-03-10,7,0.0726103230414751,0.1525766096774212,0.4580000042915344,0.0230000000447034,0.2939999997615814,0.1599999964237213,-0.1030000001192092,Positive,Neutral,Neutral,Neutral,Neutral
2010-03-28,2010-04-03,7,0.0862846336405509,0.1486364580645158,0.4580000042915344,0.0230000000447034,0.2939999997615814,0.1599999964237213,-0.1030000001192092,Positive,Neutral,Neutral,Neutral,Neutral
2010-04-10,2010-04-20,11,0.0937927199413499,0.1603686612903239,0.3700000047683716,0.4580000042915344,0.0230000000447034,0.2939999997615814,-0.0130000002682209,Neutral,Positive,Neutral,Neutral,Neutral
2010-04-22,2010-04-26,5,0.0833653348387102,0.1144411258064543,0.3700000047683716,0.4580000042915344,0.0230000000447034,0.2939999997615814,-0.0130000002682209,Neutral,Positive,Neutral,Neutral,Neutral
2010-05-11,2010-05-16,6,0.1459031672043007,0.2916165709677436,-0.0299999993294477,0.3700000047683716,0.4580000042915344,0.0230000000447034,-0.06700000166893,Neutral,Neutral,Positive,Neutral,Neutral
2015-06-10,2015-06-14,5,0.0374042612903245,0.0732523580645185,0.2960000038146972,0.2399999946355819,-0.0080000003799796,-0.2409999966621399,0.0460000000894069,Neutral,Neutral,Neutral,Neutral,Neutral
2015-09-05,2015-09-13,9,0.0729549867383505,0.1961704193548392,0.2939999997615814,0.5669999718666077,0.2249999940395355,0.2960000038146972,-0.2409999966621399,Neutral,Positive,Neutral,Neutral,Neutral
2015-10-11,2015-11-02,23,0.1582461234221601,0.3434494935483911,0.4830000102519989,0.2939999997615814,0.5669999718666077,0.2249999940395355,-0.0080000003799796,Positive,Neutral,Positive,Neutral,Neutral
2015-12-08,2016-01-15,39,0.0980785984194082,0.2308253709677394,0.2720000147819519,0.3470000028610229,0.4830000102519989,0.2939999997615814,0.2960000038146972,Neutral,Neutral,Positive,Neutral,Neutral
2016-01-19,2016-02-02,15,0.1355258180645165,0.2429977322580683,0.2660000026226043,0.2720000147819519,0.3470000028610229,0.4830000102519989,0.2249999940395355,Neutral,Neutral,Neutral,Positive,Neutral
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,0.1459999978542328,-0.0089999996125698,-0.1099999994039535,0.2660000026226043,0.4830000102519989,Neutral,Neutral,Neutral,Neutral,Positive
2017-11-16,2017-11-20,5,0.0386395929032296,0.0686327709677456,0.289000004529953,0.0160000007599592,0.0340000018477439,0.3490000069141388,0.5360000133514404,Neutral,Neutral,Neutral,Neutral,Positive
2019-03-04,2019-03-08,5,0.2130584129032257,0.3008829967741953,0.2240000069141388,0.4160000085830688,0.3869999945163727,0.3089999854564667,0.6039999723434448,Neutral,Positive,Neutral,Neutral,Positive
2019-04-17,2019-04-23,7,0.1018800566820274,0.207298612903223,0.257999986410141,0.2240000069141388,0.4160000085830688,0.3869999945163727,0.6850000023841858,Neutral,Neutral,Positive,Neutral,Positive
2019-07-07,2019-07-20,14,0.1524633806451605,0.2827658290322574,0.597000002861023,0.6050000190734863,0.5389999747276306,0.257999986410141,0.3869999945163727,Positive,Positive,Positive,Neutral,Neutral
2019-10-04,2019-10-19,16,0.1785638997983865,0.3614551580645155,0.9639999866485596,0.8930000066757202,0.4359999895095825,0.597000002861023,0.257999986410141,Positive,Positive,Positive,Positive,Neutral
2020-07-18,2020-07-29,12,0.2119671188172057,0.3314167967741923,0.3199999928474426,0.4539999961853027,0.2980000078678131,-0.0109999999403953,0.1729999929666519,Neutral,Positive,Neutral,Neutral,Neutral
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,-0.1829999983310699,0.3199999928474426,0.4539999961853027,0.2980000078678131,0.0540000014007091,Neutral,Neutral,Positive,Neutral,Neutral
2021-05-11,2021-05-19,9,0.1561603580645159,0.4482937419354798,0.0089999996125698,0.25,0.2660000026226043,0.2430000007152557,0.0199999995529651,Neutral,Neutral,Neutral,Neutral,Neutral
2023-08-23,2023-08-31,9,0.0713251602150531,0.1878571129032273,0.824999988079071,0.4979999959468841,0.6650000214576721,0.4429999887943268,0.1570000052452087,Positive,Positive,Positive,Positive,Neutral
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434,0.9200000166893004,0.8040000200271606,0.9459999799728394,0.824999988079071,0.4429999887943268,Positive,Positive,Positive,Positive,Positive
2024-01-25,2024-03-08,44,0.1628428858504402,0.3416137032258,0.7649999856948853,0.8510000109672546,0.9200000166893004,0.8040000200271606,0.4979999959468841,Positive,Positive,Positive,Positive,Positive
2024-03-28,2024-04-11,15,0.2428857410752691,0.4830745806451588,0.4210000038146972,0.328000009059906,0.7649999856948853,0.8510000109672546,0.9459999799728394,Positive,Neutral,Positive,Positive,Positive
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419352,0.4399999976158142,0.4210000038146972,0.328000009059906,0.7649999856948853,0.8040000200271606,Positive,Positive,Neutral,Positive,Positive
2024-06-14,2024-09-02,81,0.1455375629231377,0.4631175096774171,0.1969999969005584,0.296999990940094,0.4399999976158142,0.4210000038146972,0.8510000109672546,Neutral,Neutral,Positive,Positive,Positive
2024-09-26,2024-10-12,17,0.1371748707779881,0.2684732903225857,0.1150000020861625,0.2669999897480011,0.032999999821186,0.1969999969005584,0.4210000038146972,Neutral,Neutral,Neutral,Neutral,Positive
2024-10-29,2025-01-16,79,0.2124868961572334,0.6199571483870976,-0.1959999948740005,0.1150000020861625,0.2669999897480011,0.032999999821186,0.4399999976158142,Neutral,Neutral,Neutral,Neutral,Positive
2025-10-13,2025-10-18,6,0.0880718720430101,0.1541723838709714,,,,,0.1490000039339065,Unknown,Unknown,Unknown,Unknown,Neutral
