Region,Event_ID,Year,Season,Start_Date,End_Date,Duration_Days,Mean_SST_C,Max_SST_C,Min_SST_C,SST_Range_C,Mean_Threshold_C,Mean_SST_Above_Threshold_C,Mean_Intensity_C,Max_Intensity_C,Weak_Wind_Event
Central,C01,2010,Pre-Monsoon,2010-03-18,2010-04-11,25,29.9188,30.4081,29.1494,1.2587,29.709,0.2099,0.2099,0.3415,True
Central,C02,2010,Pre-Monsoon,2010-04-23,2010-05-03,11,31.128,31.2946,30.9196,0.375,31.071,0.057,0.057,0.1158,True
Central,C03,2010,Pre-Monsoon,2010-05-07,2010-05-18,12,31.425,31.6303,31.1477,0.4825,31.1916,0.2333,0.2333,0.4567,True
Central,C04,2010,SW Monsoon,2010-09-27,2010-10-03,7,29.622,29.6944,29.5182,0.1763,29.4215,0.2005,0.2005,0.2887,True
Central,C05,2015,Post-Monsoon,2015-11-21,2015-11-25,5,29.2828,29.3078,29.2406,0.0672,29.2669,0.0159,0.0159,0.0368,False
Central,C06,2016,Winter,2016-01-01,2016-01-08,8,28.415,28.5245,28.2539,0.2706,28.248,0.167,0.167,0.2431,False
Central,C07,2016,Pre-Monsoon,2016-05-05,2016-05-19,15,31.3746,31.5626,31.0001,0.5626,31.1731,0.2014,0.2014,0.3875,True
Central,C08,2016,SW Monsoon,2016-08-22,2016-08-29,8,29.3762,29.4815,29.3308,0.1507,29.3104,0.0657,0.0657,0.165,True
Central,C09,2017,SW Monsoon,2017-09-10,2017-09-15,6,29.3744,29.4967,29.2775,0.2192,29.2596,0.1148,0.1148,0.2395,True
Central,C10,2019,Post-Monsoon,2019-10-01,2019-11-04,35,29.7976,30.1195,29.515,0.6045,29.5683,0.2294,0.2294,0.5342,True
Central,C11,2020,Pre-Monsoon,2020-05-06,2020-05-12,7,31.305,31.4081,31.2707,0.1374,31.2445,0.0606,0.0606,0.1721,True
Central,C12,2020,SW Monsoon,2020-06-23,2020-07-02,10,29.7573,29.8184,29.6315,0.1869,29.6757,0.0815,0.0815,0.1329,True
Central,C13,2020,SW Monsoon,2020-07-18,2020-08-03,17,29.6178,29.9234,29.35,0.5735,29.3882,0.2296,0.2296,0.5451,True
Central,C14,2020,SW Monsoon,2020-08-27,2020-09-19,24,29.7088,30.119,29.3127,0.8063,29.2785,0.4303,0.4303,0.8422,True
Central,C15,2021,Winter,2021-01-07,2021-01-15,9,28.2286,28.2602,28.1729,0.0872,28.1983,0.0303,0.0303,0.0558,False
Central,C16,2021,Pre-Monsoon,2021-05-14,2021-05-21,8,31.3757,31.6235,31.0947,0.5288,31.0714,0.3043,0.3043,0.5336,True
Central,C17,2021,SW Monsoon,2021-06-02,2021-06-08,7,30.4966,30.6433,30.2592,0.3841,30.2838,0.2129,0.2129,0.3231,True
Central,C18,2021,SW Monsoon,2021-07-04,2021-07-08,5,29.6448,29.7812,29.5712,0.21,29.5676,0.0772,0.0772,0.2008,True
Central,C19,2022,Winter,2022-01-22,2022-01-29,8,28.1229,28.1863,28.0551,0.1311,28.0487,0.0742,0.0742,0.1255,True
Central,C20,2022,Pre-Monsoon,2022-03-27,2022-04-02,7,29.8105,29.955,29.5815,0.3735,29.7049,0.1056,0.1056,0.1622,True
Central,C21,2022,Pre-Monsoon,2022-04-22,2022-05-05,14,31.2192,31.4318,30.8886,0.5432,31.0815,0.1377,0.1377,0.2287,True
Central,C22,2022,SW Monsoon,2022-06-29,2022-07-04,6,29.6807,29.7423,29.6189,0.1234,29.6276,0.0531,0.0531,0.1086,True
Central,C23,2022,SW Monsoon,2022-07-25,2022-08-03,10,29.6251,29.7893,29.4305,0.3588,29.3722,0.2529,0.2529,0.4166,True
Central,C24,2022,SW Monsoon,2022-08-28,2022-09-06,10,29.5292,29.7214,29.3339,0.3875,29.2927,0.2365,0.2365,0.4336,True
Central,C25,2023,Pre-Monsoon,2023-05-04,2023-05-09,6,31.4222,31.6151,31.3092,0.3059,31.2678,0.1545,0.1545,0.3443,True
Central,C26,2023,Pre-Monsoon,2023-05-31,2023-06-06,7,30.401,30.5728,30.2449,0.3279,30.3743,0.0268,0.0268,0.0475,False
