Region,Event_ID,Year,Season,Start_Date,End_Date,Duration_Days,Mean_SST_C,Max_SST_C,Min_SST_C,SST_Range_C,Mean_Threshold_C,Mean_SST_Above_Threshold_C,Mean_Intensity_C,Max_Intensity_C,ONI_0m,ONI_1m,ONI_2m,ONI_3m,ONI_6m,ENSO_Phase,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_6m,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_6m,Wind_30d_Before_ms,Wind_21d_Before_ms,Wind_14d_Before_ms,Wind_7d_Before_ms,Wind_During_ms,Wind_Change_30d_ms,Wind_Change_21d_ms,Wind_Change_14d_ms,Wind_Change_7d_ms,Wind_Climatology_ms,Wind_Anomaly_ms,Wind_Classification,Weak_Wind_Event,SLHF_Climatology_Wm2,SLHF_During_Wm2,SLHF_Anomaly_Wm2,SSHF_Climatology_Wm2,SSHF_During_Wm2,SSHF_Anomaly_Wm2,Reduced_Latent_Heat_Loss,Reduced_Sensible_Heat_Loss
Central,C01,2010,Pre-Monsoon,2010-03-18,2010-04-11,25,29.9188,30.4081,29.1494,1.2587,29.709,0.2099,0.2099,0.3415,0.84,1.22,1.5,1.56,0.71,El Nino,0.458,0.023,0.294,0.16,-0.103,Positive,Neutral,Neutral,1.33,1.28,0.93,0.95,0.42,El Nino,Neutral,3.5999,3.4849,3.4743,3.792,3.1008,-0.4991,-0.3842,-0.3735,-0.6912,3.1528,-0.052,Weak,True,-385976.97,-333670.97,52306.0,-29881.705,-25998.055,3883.6504,True,True
Central,C02,2010,Pre-Monsoon,2010-04-23,2010-05-03,11,31.128,31.2946,30.9196,0.375,31.071,0.057,0.057,0.1158,0.35,0.84,1.22,1.5,1.01,Neutral,0.37,0.458,0.023,0.294,-0.013,Neutral,Positive,Neutral,0.49,1.33,1.28,0.93,0.56,Neutral,El Nino,3.1248,3.1639,3.2518,3.0066,2.6325,-0.4923,-0.5314,-0.6193,-0.3741,3.3425,-0.71,Weak,True,-388809.84,-414272.44,-25462.594,-33946.47,-42894.19,-8947.723,False,False
Central,C03,2010,Pre-Monsoon,2010-05-07,2010-05-18,12,31.425,31.6303,31.1477,0.4825,31.1916,0.2333,0.2333,0.4567,-0.17,0.35,0.84,1.22,1.36,Neutral,-0.03,0.37,0.458,0.023,-0.067,Neutral,Neutral,Neutral,-0.12,0.49,1.33,1.28,1.04,Neutral,El Nino,2.9871,2.7914,2.6838,2.6389,3.2653,0.2783,0.4739,0.5816,0.6265,4.5126,-1.2473,Weak,True,-482452.97,-411351.34,71101.625,-37386.82,-37725.605,-338.7852,True,False
Central,C04,2010,SW Monsoon,2010-09-27,2010-10-03,7,29.622,29.6944,29.5182,0.1763,29.4215,0.2005,0.2005,0.2887,-1.56,-1.35,-1.05,-0.66,0.84,La Nina,-0.268,-0.062,-0.001,-0.14,0.458,Neutral,Neutral,Positive,-2.26,-2.38,-2.42,-1.29,1.33,La Nina,El Nino,5.0369,4.2961,3.8589,2.5088,2.1852,-2.8517,-2.1109,-1.6737,-0.3236,5.1735,-2.9883,Weak,True,-466205.1,-310833.28,155371.81,-38608.69,-37779.668,829.0234,True,True
Central,C05,2015,Post-Monsoon,2015-11-21,2015-11-25,5,29.2828,29.3078,29.2406,0.0672,29.2669,0.0159,0.0159,0.0368,2.64,2.47,2.21,1.91,1.02,El Nino,0.347,0.483,0.294,0.567,0.24,Neutral,Positive,Neutral,1.93,2.15,2.24,1.95,0.95,El Nino,El Nino,4.0964,4.1133,4.3171,4.2294,5.2534,1.157,1.1402,0.9363,1.024,4.8744,0.379,Strong,False,-466631.03,-509699.47,-43068.438,-41265.39,-34274.953,6990.4375,False,True
Central,C06,2016,Winter,2016-01-01,2016-01-08,8,28.415,28.5245,28.2539,0.2706,28.248,0.167,0.167,0.2431,2.63,2.75,2.64,2.47,1.57,El Nino,0.266,0.272,0.347,0.483,0.225,Neutral,Neutral,Neutral,1.93,1.93,1.93,2.15,1.79,El Nino,El Nino,5.1258,5.0712,5.6705,6.283,5.7743,0.6485,0.7031,0.1038,-0.5087,5.4901,0.2842,Strong,False,-561030.75,-697791.06,-136760.31,-38235.285,-43486.492,-5251.207,False,False
Central,C07,2016,Pre-Monsoon,2016-05-05,2016-05-19,15,31.3746,31.5626,31.0001,0.5626,31.1731,0.2014,0.2014,0.3875,0.49,1.05,1.71,2.28,2.64,Neutral,-0.113,0.146,-0.009,-0.11,0.347,Neutral,Neutral,Neutral,1.24,1.32,1.32,1.8,1.93,El Nino,El Nino,3.3548,3.4076,3.4303,3.0183,3.991,0.6361,0.5834,0.5606,0.9726,4.6547,-0.6638,Weak,True,-482452.97,-528606.0,-46153.03,-37386.82,-50650.652,-13263.832,False,False
Central,C08,2016,SW Monsoon,2016-08-22,2016-08-29,8,29.3762,29.4815,29.3308,0.1507,29.3104,0.0657,0.0657,0.165,-0.5,-0.31,0.0,0.49,2.28,La Nina,-0.444,-0.758,-0.443,-0.113,-0.11,Negative,Negative,Neutral,-0.26,-0.54,0.35,1.24,1.8,Neutral,El Nino,6.8146,7.1554,6.9055,7.0136,5.3733,-1.4413,-1.7821,-1.5322,-1.6403,6.225,-0.8517,Weak,True,-500356.0,-416985.75,83370.25,-34290.63,-36272.63,-1982.0,True,False
Central,C09,2017,SW Monsoon,2017-09-10,2017-09-15,6,29.3744,29.4967,29.2775,0.2192,29.2596,0.1148,0.1148,0.2395,-0.34,-0.07,0.19,0.39,0.18,Neutral,0.034,0.349,0.52,0.424,0.357,Neutral,Neutral,Neutral,-0.73,-0.72,-0.63,-0.23,-0.58,La Nina,La Nina,5.4878,5.1597,4.4499,3.5595,4.0614,-1.4264,-1.0983,-0.3885,0.5019,5.9834,-1.922,Weak,True,-466205.1,-584736.3,-118531.22,-38608.69,-60776.477,-22167.785,False,False
Central,C10,2019,Post-Monsoon,2019-10-01,2019-11-04,35,29.7976,30.1195,29.515,0.6045,29.5683,0.2294,0.2294,0.5342,0.39,0.23,0.19,0.33,0.77,Neutral,0.964,0.893,0.436,0.597,0.258,Positive,Positive,Neutral,0.31,0.16,0.32,0.3,0.3,Neutral,Neutral,5.738,4.8526,4.1996,3.6026,3.0225,-2.7155,-1.8301,-1.177,-0.58,4.1987,-1.1762,Weak,True,-415979.62,-379732.47,36247.156,-39772.184,-41585.57,-1813.3867,True,False
