Event_ID,Start_Date,Wind_30d_Before_ms,Wind_21d_Before_ms,Wind_14d_Before_ms,Wind_7d_Before_ms,Wind_During_ms,Wind_Change_30d_ms,Wind_Change_21d_ms,Wind_Change_14d_ms,Wind_Change_7d_ms,Wind_Climatology_ms,Wind_Anomaly_ms,Wind_Classification,Weak_Wind_Event
N01,2006-03-06,2.5032,2.5592,2.5597,2.5323,2.3745,-0.1287,-0.1847,-0.1852,-0.1578,2.6492,-0.2747,Weak,True
N02,2008-10-13,2.8678,2.3828,1.8744,1.9118,1.9908,-0.877,-0.392,0.1164,0.079,2.0582,-0.0674,Weak,True
N03,2009-11-14,2.3661,2.5114,2.5944,2.2941,2.0668,-0.2993,-0.4446,-0.5276,-0.2274,2.7239,-0.6572,Weak,True
N04,2010-03-16,2.7316,2.8483,2.9318,2.6873,2.552,-0.1796,-0.2963,-0.3799,-0.1353,2.6838,-0.1318,Weak,True
N05,2014-06-11,3.1976,3.3215,3.1426,3.1533,3.5708,0.3732,0.2492,0.4282,0.4175,4.0488,-0.478,Weak,True
N06,2016-02-18,2.4934,2.3475,2.3719,2.3717,2.3813,-0.1121,0.0338,0.0094,0.0096,2.6393,-0.258,Weak,True
N07,2016-03-06,2.3602,2.359,2.3488,2.2014,2.7029,0.3427,0.344,0.3541,0.5015,2.6832,0.0197,Strong,False
N08,2016-08-26,3.7988,3.8686,3.6235,2.7099,2.4043,-1.3946,-1.4644,-1.2192,-0.3056,3.2695,-0.8652,Weak,True
N09,2017-01-01,2.7396,2.5637,2.3946,2.5312,2.9761,0.2366,0.4124,0.5815,0.4449,2.8039,0.1722,Strong,False
N10,2018-09-29,2.9053,2.418,2.3461,1.7801,1.5115,-1.3937,-0.9065,-0.8346,-0.2685,2.406,-0.8945,Weak,True
N11,2019-06-24,3.5963,3.6645,3.8475,3.4402,3.3859,-0.2104,-0.2786,-0.4616,-0.0543,3.906,-0.5201,Weak,True
N12,2019-10-17,2.0052,1.8764,1.7662,1.8275,2.1649,0.1597,0.2885,0.3986,0.3373,2.4049,-0.24,Weak,True
N13,2020-05-11,2.6349,2.5454,2.3999,2.5652,2.3777,-0.2571,-0.1677,-0.0222,-0.1874,3.1617,-0.7839,Weak,True
N14,2020-06-24,3.5329,3.6299,3.9867,3.988,3.2231,-0.3098,-0.4067,-0.7635,-0.7649,4.0621,-0.839,Weak,True
N15,2020-07-08,3.6461,3.632,3.454,4.0131,3.6752,0.0291,0.0432,0.2211,-0.3379,3.9852,-0.3101,Weak,True
N16,2020-07-25,3.5182,3.6654,3.4651,3.334,3.3772,-0.141,-0.2882,-0.0879,0.0432,3.9974,-0.6202,Weak,True
N17,2020-09-03,4.068,4.034,3.4711,2.6786,2.577,-1.491,-1.457,-0.894,-0.1016,3.0937,-0.5167,Weak,True
N18,2021-01-07,2.8374,2.9507,2.903,2.7155,2.498,-0.3394,-0.4527,-0.405,-0.2175,2.7046,-0.2066,Weak,True
N19,2021-05-08,2.5687,2.6147,2.5497,2.327,2.7188,0.1501,0.1041,0.1691,0.3918,3.2851,-0.5663,Weak,True
N20,2021-07-15,3.6924,3.4127,3.3139,3.2082,2.8982,-0.7942,-0.5144,-0.4156,-0.3099,3.9484,-1.0502,Weak,True
N21,2021-08-31,3.4248,3.2164,3.1829,3.1577,2.0707,-1.3541,-1.1457,-1.1122,-1.087,3.1813,-1.1106,Weak,True
N22,2021-10-06,2.9348,2.5015,2.4013,1.9658,1.5919,-1.3428,-0.9095,-0.8094,-0.3739,2.3839,-0.792,Weak,True
N23,2021-11-17,2.3822,2.4354,2.5767,2.5194,2.5893,0.2071,0.1539,0.0126,0.07,2.6671,-0.0778,Weak,True
N24,2021-12-03,2.6622,2.6453,2.6865,2.9911,3.0801,0.4179,0.4347,0.3936,0.0889,2.7281,0.3519,Strong,False
N25,2022-01-01,2.8722,2.824,2.6151,2.7751,2.8975,0.0253,0.0735,0.2823,0.1224,2.795,0.1025,Strong,False
N26,2022-07-27,3.7465,3.9713,3.6965,2.932,2.5068,-1.2397,-1.4644,-1.1897,-0.4252,4.0952,-1.5884,Weak,True
N27,2022-08-29,3.5173,3.8442,3.2341,2.3992,2.3786,-1.1387,-1.4656,-0.8555,-0.0206,3.1774,-0.7988,Weak,True
N28,2023-01-01,2.6868,2.5515,2.5187,2.0801,3.1686,0.4818,0.6171,0.6499,1.0886,2.795,0.3736,Strong,False
N29,2023-04-11,2.5308,2.6297,2.7468,2.684,2.684,0.1532,0.0543,-0.0628,-0.0,3.0609,-0.3768,Weak,True
N30,2023-05-28,3.2058,3.5461,3.6014,3.4271,3.4149,0.2091,-0.1312,-0.1865,-0.0122,3.7278,-0.3129,Weak,True
N31,2023-06-30,3.702,4.0216,3.9701,4.0345,3.2956,-0.4064,-0.726,-0.6745,-0.7389,4.1403,-0.8447,Weak,True
N32,2023-08-30,3.9203,3.4086,3.5185,3.6612,2.2481,-1.6723,-1.1605,-1.2704,-1.4131,3.069,-0.8209,Weak,True
N33,2023-10-10,3.1499,2.9942,2.9816,3.0834,1.8943,-1.2556,-1.0999,-1.0873,-1.1891,2.1969,-0.3026,Weak,True
N34,2023-11-03,2.3176,2.2524,2.4241,2.2189,2.2834,-0.0342,0.031,-0.1407,0.0646,2.5112,-0.2278,Weak,True
N35,2023-12-03,2.7108,2.8471,2.7682,2.8568,2.6878,-0.023,-0.1593,-0.0804,-0.1689,2.7858,-0.098,Weak,True
N36,2024-04-07,2.9398,2.9419,3.0259,3.2898,3.0799,0.1401,0.138,0.054,-0.2099,3.1587,-0.0788,Weak,True
N37,2024-05-30,3.3867,3.2581,3.6702,4.7175,3.3714,-0.0152,0.1133,-0.2988,-1.3461,3.3137,0.0578,Strong,False
N38,2024-10-07,3.1876,2.6356,2.8051,2.6881,2.0043,-1.1833,-0.6313,-0.8008,-0.6838,2.257,-0.2527,Weak,True
N39,2024-10-30,2.4795,2.4939,2.7583,3.1417,2.2207,-0.2589,-0.2732,-0.5377,-0.921,2.4475,-0.2268,Weak,True
N40,2024-11-10,2.5202,2.7379,2.3087,2.7395,2.5772,0.057,-0.1607,0.2685,-0.1623,2.6601,-0.0829,Weak,True
N41,2024-11-30,2.695,2.8158,2.8968,3.2536,2.8145,0.1196,-0.0013,-0.0823,-0.4391,2.7302,0.0843,Strong,False
N42,2025-01-01,3.0601,3.2412,3.1881,3.1761,2.6912,-0.3689,-0.55,-0.4969,-0.4849,2.7355,-0.0443,Weak,True
N43,2025-01-22,2.8445,2.694,2.8966,2.8717,2.56,-0.2845,-0.134,-0.3366,-0.3117,2.6634,-0.1035,Weak,True
N44,2025-03-29,2.7436,2.8029,2.8434,2.833,2.5991,-0.1445,-0.2039,-0.2444,-0.2339,3.0108,-0.4118,Weak,True
N45,2025-05-12,2.6027,2.6849,2.3968,2.5504,2.4871,-0.1155,-0.1978,0.0903,-0.0632,3.1617,-0.6745,Weak,True
N46,2025-07-19,4.1481,4.0963,3.7686,2.993,2.845,-1.3031,-1.2512,-0.9235,-0.148,4.1505,-1.3054,Weak,True
N47,2025-08-03,3.9303,3.7378,4.1695,4.0429,2.9621,-0.9682,-0.7757,-1.2074,-1.0808,3.901,-0.9389,Weak,True
N48,2025-09-17,3.1345,2.712,2.4267,2.3574,1.93,-1.2045,-0.782,-0.4967,-0.4274,3.0428,-1.1128,Weak,True
N49,2025-10-19,2.5477,2.3848,1.9393,1.8227,2.7062,0.1585,0.3214,0.7669,0.8835,2.4284,0.2778,Strong,False
