Event_ID,Start_Date,SLHF_Climatology_Wm2,SLHF_During_Wm2,SLHF_Anomaly_Wm2,SSHF_Climatology_Wm2,SSHF_During_Wm2,SSHF_Anomaly_Wm2,Reduced_Latent_Heat_Loss,Reduced_Sensible_Heat_Loss
S01,2010-03-04,-408929.28,-329080.75,79848.53,-38174.727,-26012.768,12161.959,True,True
S02,2010-03-28,-408929.28,-395767.16,13162.125,-38174.727,-36400.125,1774.6016,True,True
S03,2010-04-10,-401048.84,-353246.1,47802.75,-43607.066,-32741.865,10865.201,True,True
S04,2010-04-22,-401048.84,-458240.62,-57191.78,-43607.066,-57992.42,-14385.355,False,False
S05,2010-05-11,-493293.88,-650611.06,-157317.19,-44272.82,-79332.23,-35059.406,False,False
S06,2015-06-10,,,,,,,False,False
S07,2015-09-05,-468110.2,-395866.72,72243.47,-39524.95,-40899.87,-1374.9219,True,False
S08,2015-10-11,-412260.8,-351029.8,61231.0,-39750.574,-43101.355,-3350.7812,True,False
S09,2015-12-08,-415258.03,-444542.0,-29283.969,-42270.816,-38404.535,3866.2812,False,True
S10,2016-01-19,-451416.25,-433904.22,17512.031,-39955.64,-41986.605,-2030.9648,True,False
S11,2016-04-21,-401048.84,-460095.1,-59046.25,-43607.066,-46518.45,-2911.3828,False,False
S12,2017-11-16,,,,,,,False,False
S13,2019-03-04,-408929.28,-410142.53,-1213.25,-38174.727,-30440.104,7734.623,False,True
S14,2019-04-17,-401048.84,-373908.6,27140.25,-43607.066,-42403.918,1203.1484,True,True
S15,2019-07-07,-515313.7,-451810.94,63502.75,-39041.36,-38026.453,1014.9062,True,True
S16,2019-10-04,-412260.8,-375306.06,36954.75,-39750.574,-50895.0,-11144.426,True,False
S17,2020-07-18,-515313.7,-517122.7,-1809.0,-39041.36,-47051.547,-8010.1875,False,False
S18,2020-08-17,-487270.16,-513342.16,-26072.0,-40176.707,-49996.82,-9820.113,False,False
S19,2021-05-11,-493293.88,-393974.34,99319.53,-44272.82,-36655.797,7617.0234,True,True
S20,2023-08-23,-487270.16,-468656.5,18613.656,-40176.707,-41607.312,-1430.6055,True,False
S21,2023-11-03,-404165.6,-305745.1,98420.5,-44601.984,-32676.963,11925.021,True,True
S22,2024-01-25,-451416.25,-414219.9,37196.344,-39955.64,-35005.086,4950.5547,True,True
S23,2024-03-28,-408929.28,-342875.1,66054.19,-38174.727,-38809.48,-634.7539,True,False
S24,2024-04-14,-401048.84,-408266.7,-7217.8438,-43607.066,-39847.32,3759.746,False,True
S25,2024-06-14,-525831.94,-481186.5,44645.438,-39940.324,-33293.125,6647.199,True,True
S26,2024-09-26,-468110.2,-394229.72,73880.47,-39524.95,-38692.707,832.2422,True,True
S27,2024-10-29,-412260.8,-431786.03,-19525.219,-39750.574,-42846.746,-3096.1719,False,False
S28,2025-10-13,-412260.8,-434414.6,-22153.781,-39750.574,-49948.082,-10197.508,False,False
