Region,Event_ID,Year,Season,Start_Date,End_Date,Duration_Days,Mean_SST_C,Max_SST_C,Min_SST_C,SST_Range_C,Mean_Threshold_C,Mean_SST_Above_Threshold_C,Mean_Intensity_C,Max_Intensity_C,ONI_0m,ONI_1m,ONI_2m,ONI_3m,ONI_6m,ENSO_Phase,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_6m,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_6m,Wind_30d_Before_ms,Wind_21d_Before_ms,Wind_14d_Before_ms,Wind_7d_Before_ms,Wind_During_ms,Wind_Change_30d_ms,Wind_Change_21d_ms,Wind_Change_14d_ms,Wind_Change_7d_ms,Wind_Climatology_ms,Wind_Anomaly_ms,Wind_Classification,Weak_Wind_Event,SLHF_Climatology_Wm2,SLHF_During_Wm2,SLHF_Anomaly_Wm2,SSHF_Climatology_Wm2,SSHF_During_Wm2,SSHF_Anomaly_Wm2,Reduced_Latent_Heat_Loss,Reduced_Sensible_Heat_Loss
South,S01,2010,Pre-Monsoon,2010-03-04,2010-03-10,7,29.4615,29.533,29.3751,0.1579,29.3889,0.0726,0.0726,0.1526,0.84,1.22,1.5,1.56,0.71,El Nino,0.458,0.023,0.294,0.16,-0.103,Positive,Neutral,Neutral,1.33,1.28,0.93,0.95,0.42,El Nino,Neutral,3.8892,3.851,3.7671,3.7379,3.3973,-0.4918,-0.4536,-0.3698,-0.3406,3.6414,-0.2441,Weak,True,-408929.28,-329080.75,79848.53,-38174.727,-26012.768,12161.959,True,True
South,S02,2010,Pre-Monsoon,2010-03-28,2010-04-03,7,30.2608,30.4039,30.0582,0.3457,30.1745,0.0863,0.0863,0.1486,0.84,1.22,1.5,1.56,0.71,El Nino,0.458,0.023,0.294,0.16,-0.103,Positive,Neutral,Neutral,1.33,1.28,0.93,0.95,0.42,El Nino,Neutral,3.4715,3.3914,3.1943,2.7316,3.1596,-0.3119,-0.2318,-0.0347,0.428,3.1017,0.0579,Strong,False,-408929.28,-395767.16,13162.125,-38174.727,-36400.125,1774.6016,True,True
South,S03,2010,Pre-Monsoon,2010-04-10,2010-04-20,11,30.8438,31.036,30.6703,0.3656,30.7501,0.0938,0.0938,0.1604,0.35,0.84,1.22,1.5,1.01,Neutral,0.37,0.458,0.023,0.294,-0.013,Neutral,Positive,Neutral,0.49,1.33,1.28,0.93,0.56,Neutral,El Nino,3.2045,2.9345,3.0111,2.9453,2.7606,-0.444,-0.1739,-0.2505,-0.1847,3.123,-0.3624,Weak,True,-401048.84,-353246.1,47802.75,-43607.066,-32741.865,10865.201,True,True
South,S04,2010,Pre-Monsoon,2010-04-22,2010-04-26,5,31.0834,31.1269,30.9696,0.1573,31.0001,0.0834,0.0834,0.1144,0.35,0.84,1.22,1.5,1.01,Neutral,0.37,0.458,0.023,0.294,-0.013,Neutral,Positive,Neutral,0.49,1.33,1.28,0.93,0.56,Neutral,El Nino,2.92,2.9822,2.8847,2.767,3.2725,0.3525,0.2903,0.3878,0.5055,3.4114,-0.139,Weak,True,-401048.84,-458240.62,-57191.78,-43607.066,-57992.42,-14385.355,False,False
South,S05,2010,Pre-Monsoon,2010-05-11,2010-05-16,6,31.0992,31.2372,30.9175,0.3197,30.9533,0.1459,0.1459,0.2916,-0.17,0.35,0.84,1.22,1.36,Neutral,-0.03,0.37,0.458,0.023,-0.067,Neutral,Neutral,Neutral,-0.12,0.49,1.33,1.28,1.04,Neutral,El Nino,2.9338,2.971,2.828,3.2677,5.068,2.1343,2.0971,2.24,1.8003,4.643,0.425,Strong,False,-493293.88,-650611.06,-157317.19,-44272.82,-79332.23,-35059.406,False,False
South,S06,2015,SW Monsoon,2015-06-10,2015-06-14,5,29.9243,29.9818,29.8651,0.1167,29.8869,0.0374,0.0374,0.0733,1.25,1.02,0.81,0.65,0.77,El Nino,0.296,0.24,-0.008,-0.241,0.046,Neutral,Neutral,Neutral,1.9,0.95,0.31,0.15,0.35,El Nino,Neutral,4.0711,4.0339,3.661,3.371,4.1537,0.0826,0.1197,0.4927,0.7827,5.4864,-1.3327,Weak,True,,,,,,,False,False
South,S07,2015,SW Monsoon,2015-09-05,2015-09-13,9,29.3164,29.4538,29.225,0.2288,29.2435,0.073,0.073,0.1962,2.21,1.91,1.57,1.25,0.65,El Nino,0.294,0.567,0.225,0.296,-0.241,Neutral,Positive,Neutral,2.24,1.95,1.79,1.9,0.15,El Nino,Neutral,5.009,4.6122,4.7409,4.4787,4.2405,-0.7685,-0.3716,-0.5004,-0.2382,5.3339,-1.0933,Weak,True,-468110.2,-395866.72,72243.47,-39524.95,-40899.87,-1374.9219,True,False
South,S08,2015,Post-Monsoon,2015-10-11,2015-11-02,23,29.5444,29.7347,29.3476,0.3871,29.3861,0.1582,0.1582,0.3434,2.47,2.21,1.91,1.57,0.81,El Nino,0.483,0.294,0.567,0.225,-0.008,Positive,Neutral,Neutral,2.15,2.24,1.95,1.79,0.31,El Nino,Neutral,4.6584,4.2655,3.9599,3.7324,2.7575,-1.901,-1.508,-1.2024,-0.975,4.2196,-1.4622,Weak,True,-412260.8,-351029.8,61231.0,-39750.574,-43101.355,-3350.7812,True,False
South,S09,2015,Winter,2015-12-08,2016-01-15,39,29.1157,29.3218,28.9442,0.3776,29.0176,0.0981,0.0981,0.2308,2.75,2.64,2.47,2.21,1.25,El Nino,0.272,0.347,0.483,0.294,0.296,Neutral,Neutral,Neutral,1.93,1.93,2.15,2.24,1.9,El Nino,El Nino,3.8467,3.537,3.7605,3.8136,4.1463,0.2995,0.6093,0.3858,0.3327,4.2247,-0.0784,Weak,True,-415258.03,-444542.0,-29283.969,-42270.816,-38404.535,3866.2812,False,True
South,S10,2016,Winter,2016-01-19,2016-02-02,15,29.028,29.129,28.9087,0.2203,28.8925,0.1355,0.1355,0.243,2.63,2.75,2.64,2.47,1.57,El Nino,0.266,0.272,0.347,0.483,0.225,Neutral,Neutral,Neutral,1.93,1.93,1.93,2.15,1.79,El Nino,El Nino,4.4336,4.4448,4.2727,4.1208,4.2565,-0.1771,-0.1883,-0.0162,0.1357,4.3298,-0.0734,Weak,True,-451416.25,-433904.22,17512.031,-39955.64,-41986.605,-2030.9648,True,False
