Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_1m,MEI_Phase_2m,MEI_Phase_3m,MEI_Phase_6m
2006-03-06,2006-03-11,6,0.0699810010752699,0.1418800064516148,-0.6200000047683716,-0.4900000095367431,-0.6399999856948853,,,La Nina,Neutral,La Nina,Unknown,Unknown
2008-10-13,2008-10-18,6,0.0242448462365576,0.0560024935483873,-1.090000033378601,-1.0199999809265137,-1.0099999904632568,-0.7799999713897705,-1.100000023841858,La Nina,La Nina,La Nina,La Nina,La Nina
2009-11-14,2009-11-20,7,0.0863886460829489,0.1618855193548363,1.0399999618530271,0.5600000023841858,0.4199999868869781,0.5600000023841858,-0.7200000286102295,El Nino,El Nino,Neutral,El Nino,La Nina
2010-03-16,2010-03-22,7,0.054277692626728,0.1173279161290352,1.3300000429153442,1.2799999713897705,0.9300000071525574,0.949999988079071,0.4199999868869781,El Nino,El Nino,El Nino,El Nino,Neutral
2014-06-11,2014-06-19,9,0.2710513136200683,0.4585283129032298,0.0,-0.1700000017881393,-0.1700000017881393,-0.050000000745058,-0.3300000131130218,Neutral,Neutral,Neutral,Neutral,Neutral
2016-02-18,2016-03-03,15,0.2163602610752692,0.4010841774193601,1.7999999523162842,1.9299999475479128,1.9299999475479128,1.9299999475479128,1.950000047683716,El Nino,El Nino,El Nino,El Nino,El Nino
2016-03-06,2016-03-28,23,0.1550480144460032,0.3465208903225836,1.3200000524520874,1.7999999523162842,1.9299999475479128,1.9299999475479128,2.240000009536743,El Nino,El Nino,El Nino,El Nino,El Nino
2016-08-26,2016-08-30,5,0.0507263948387084,0.1037909580645148,-0.2599999904632568,-0.5400000214576721,0.3499999940395355,1.2400000095367432,1.7999999523162842,Neutral,La Nina,Neutral,El Nino,El Nino
2017-01-01,2017-01-07,7,0.146624434914126,0.206155082352943,-0.4199999868869781,-0.3700000047683716,-0.4699999988079071,-0.5299999713897705,-0.5400000214576721,Neutral,Neutral,Neutral,La Nina,La Nina
2018-09-29,2018-10-07,9,0.2611873598566328,0.4352090129032291,0.6200000047683716,0.4699999988079071,-0.050000000745058,-0.5099999904632568,-0.800000011920929,El Nino,Neutral,Neutral,La Nina,La Nina
2019-06-24,2019-06-29,6,0.0772094075268832,0.107251825806454,0.3499999940395355,0.2300000041723251,0.3000000119209289,0.7599999904632568,0.1800000071525573,Neutral,Neutral,Neutral,El Nino,Neutral
2019-10-17,2019-10-31,15,0.3160635933333326,0.6210531838709628,0.3100000023841858,0.1599999964237213,0.3199999928474426,0.3000000119209289,0.3000000119209289,Neutral,Neutral,Neutral,Neutral,Neutral
2020-05-11,2020-05-17,7,0.2228268479262663,0.32248381935484,-0.2300000041723251,-0.1500000059604644,0.1299999952316284,0.2599999904632568,0.4699999988079071,Neutral,Neutral,Neutral,Neutral,Neutral
