Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,Year
2024-10-28,2024-12-19,53,0.1525969444041741,0.2996832741935478,2024
2024-04-11,2024-05-24,44,0.4071737870967743,0.9075480967741923,2024
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301,2019
2025-02-20,2025-03-25,34,0.1676668997153705,0.3363916258064527,2025
2023-11-04,2023-11-29,26,0.088796441935485,0.2644608838709708,2023
2024-01-24,2024-02-18,26,0.0951408295285363,0.2722620870967738,2024
2010-03-18,2010-04-11,25,0.2098763521290332,0.3414879548387119,2010
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526,2020
2024-08-09,2024-08-28,20,0.2428046654838697,0.355407532258063,2024
2024-10-05,2024-10-21,17,0.1953763377609117,0.3326565645161317,2024
