Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,Year
2024-04-11,2024-05-24,44,0.4071737870967743,0.9075480967741923,2024
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526,2020
2020-07-18,2020-08-03,17,0.229599138899432,0.5450539129032279,2020
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301,2019
2021-05-14,2021-05-21,8,0.3043162439516114,0.5335736806451585,2021
2010-05-07,2010-05-18,12,0.2333294817204298,0.4567433709677395,2010
2024-09-27,2024-10-02,6,0.22267299032258,0.4511085483870936,2024
2022-08-28,2022-09-06,10,0.2365157603225793,0.4335852096774175,2022
2022-07-25,2022-08-03,10,0.2528771548387116,0.416600174193551,2022
2016-05-05,2016-05-19,15,0.2014103443010744,0.3875133709677385,2016
