Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,Year
2024-04-07,2024-05-25,49,0.3037085087557604,0.9121927741935528,2024
2022-07-27,2022-08-08,13,0.427123138709678,0.791831138709675,2022
2022-08-29,2022-09-11,14,0.491046052534562,0.7155913999999974,2022
2020-09-03,2020-09-23,21,0.4124759290322574,0.659075399999999,2020
2019-10-17,2019-10-31,15,0.3160635933333326,0.6210531838709628,2019
2024-10-07,2024-10-22,16,0.3530566467741929,0.584013141935479,2024
2020-07-25,2020-08-13,20,0.2484124362903221,0.5033501387096777,2020
2023-04-11,2023-05-11,31,0.2531448370447453,0.4868632516129096,2023
2025-01-22,2025-03-23,61,0.2272734505023797,0.4836931387096754,2025
2021-05-08,2021-05-23,16,0.2496937469758062,0.4772617741935505,2021
