Region,Start_Date,Duration_Days,Max_Intensity,Horizon_Days,Model,Max_P_In_PreWindow,Alert_Hit
North,2025-01-01,19,0.439,3,onset_3d_random_forest,0.2931,1
North,2025-01-01,19,0.439,7,north_onset_7d_logistic,0.8339,1
North,2025-01-01,19,0.439,14,north_onset_14d_logistic,0.9311,1
North,2025-01-22,61,0.484,3,onset_3d_random_forest,0.1778,0
North,2025-01-22,61,0.484,7,north_onset_7d_logistic,0.8524,1
North,2025-01-22,61,0.484,14,north_onset_14d_logistic,0.8805,1
North,2025-03-29,10,0.199,3,onset_3d_random_forest,0.432,1
North,2025-03-29,10,0.199,7,north_onset_7d_logistic,0.8806,1
North,2025-03-29,10,0.199,14,north_onset_14d_logistic,0.8927,1
North,2025-05-12,7,0.221,3,onset_3d_random_forest,0.6582,1
North,2025-05-12,7,0.221,7,north_onset_7d_logistic,0.923,1
North,2025-05-12,7,0.221,14,north_onset_14d_logistic,0.8871,1
North,2025-07-19,5,0.236,3,onset_3d_random_forest,0.3639,1
North,2025-07-19,5,0.236,7,north_onset_7d_logistic,0.9543,1
North,2025-07-19,5,0.236,14,north_onset_14d_logistic,0.9376,1
North,2025-08-03,15,0.477,3,onset_3d_random_forest,0.647,1
North,2025-08-03,15,0.477,7,north_onset_7d_logistic,0.9563,1
North,2025-08-03,15,0.477,14,north_onset_14d_logistic,0.9642,1
North,2025-09-17,5,0.205,3,onset_3d_random_forest,0.7483,1
North,2025-09-17,5,0.205,7,north_onset_7d_logistic,0.981,1
North,2025-09-17,5,0.205,14,north_onset_14d_logistic,0.9619,1
North,2025-10-19,16,0.287,3,onset_3d_random_forest,0.7233,1
North,2025-10-19,16,0.287,7,north_onset_7d_logistic,0.9101,1
North,2025-10-19,16,0.287,14,north_onset_14d_logistic,0.902,1
Central,2025-01-01,15,0.279,3,central_onset_3d_logistic,0.9777,1
Central,2025-01-01,15,0.279,7,central_onset_7d_logistic,0.9354,1
Central,2025-01-01,15,0.279,14,central_onset_14d_logistic,0.9405,1
Central,2025-02-20,34,0.336,3,central_onset_3d_logistic,0.8894,1
Central,2025-02-20,34,0.336,7,central_onset_7d_logistic,0.9162,1
Central,2025-02-20,34,0.336,14,central_onset_14d_logistic,0.8223,1
Central,2025-07-12,6,0.086,3,central_onset_3d_logistic,0.9581,1
Central,2025-07-12,6,0.086,7,central_onset_7d_logistic,0.8503,1
Central,2025-07-12,6,0.086,14,central_onset_14d_logistic,0.853,1
Central,2025-08-01,13,0.302,3,central_onset_3d_logistic,0.9627,1
Central,2025-08-01,13,0.302,7,central_onset_7d_logistic,0.9371,1
Central,2025-08-01,13,0.302,14,central_onset_14d_logistic,0.9423,1
South,2025-10-13,6,0.154,3,onset_3d_xgboost,0.01,0
South,2025-10-13,6,0.154,7,onset_7d_gradient_boosting,0.0049,0
South,2025-10-13,6,0.154,14,south_onset_14d_logistic,0.9568,1
