feature,importance
SST_Anomaly,0.15830959876378378
Intensity,0.06570928481717904
DMI_6m,0.042258123556772866
DMI_0m,0.04063608373204867
Distance_to_Threshold,0.035284907246629395
MEI_6m,0.03517463617026806
ONI_3m,0.02793925628066063
MEI_1m,0.025406965365012486
ONI_1m,0.022023340066274006
Intensity_mean_14d,0.021128984556222957
Consecutive_Hot_Days,0.021084939983362954
Wind_anom_mean_30d,0.019681811643143494
SST_mean_21d,0.019564860500395298
SST_mean_14d,0.01914420040945212
Intensity_mean_30d,0.018557091243565083
